buyer_name,implementation_location_province,No,supplier_name,items_description,UNIT OF MEASURE,items_quantity,order_amount_zar
Mpumalanga Department of Health (DOH),Mpumalanga,420,MPUMALANGA  REGIONAL  TRAINING,Accommodation for  COVID-19  Quarantine  23  G,,21,205002.00
Mpumalanga Department of Health (DOH),Mpumalanga,421,MPUMALANGA  REGIONAL  TRAINING,Accommodation for  COVID-19  Quarantine  23  G,,45,397636.00
Mpumalanga Department of Health (DOH),Mpumalanga,422,MPUMALANGA  REGIONAL  TRAINING,Accommodation for  COVID-19  Quarantine  23  G,,44,447446.00
Mpumalanga Department of Health (DOH),Mpumalanga,423,BLEVILLA,Battery: DC  3VX  AAA  (18  per pack),,2  000,376000.00
Mpumalanga Department of Health (DOH),Mpumalanga,424,BLEVILLA,Jumbo  Rolls  Disposable  Paper,2900-BOX,6  000,1799940.00
Mpumalanga Department of Health (DOH),Mpumalanga,425,BLEVILLA,A4  Printing  Paper,1200-BOX,2900-BOX,1444200.00
Mpumalanga Department of Health (DOH),Mpumalanga,426,BLEVILLA,A3  Printing  Paper,,1200-BOX,1199880.00
Mpumalanga Department of Health (DOH),Mpumalanga,427,BLEVILLA,Stationery -  Black  Pen,,1  200,34800.00
Mpumalanga Department of Health (DOH),Mpumalanga,428,ARFOSHINE  HOLDINGS,Supply and  Delivery of Branded Umbrellas  size  156  cm,,7  000,805450.00
Mpumalanga Department of Health (DOH),Mpumalanga,429,BILLMARRY CONSTRUCTION,Still water  (500ml),,50  000,490000.00
Mpumalanga Department of Health (DOH),Mpumalanga,430,DIKARABO TRADING CO-OPERATIO,Mask  3layer  of fabric(as  per  the DTIC  guidelines  and specification),,3  000,75000.00
Mpumalanga Department of Health (DOH),Mpumalanga,431,MPUMALANGA  NCRF  HUB,live  broadcasts  30  minutes Weekly,,1,1594700.00
Mpumalanga Department of Health (DOH),Mpumalanga,432,MPUMALANGA  RISE  FM,Radio  Advertisements,,1,497593.50
Mpumalanga Department of Health (DOH),Mpumalanga,433,CLINIPRO (PTY)  LTD,Germkill Hand  Sanitizer1  litter Refill,,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,434,CLINIPRO (PTY)  LTD,Germkill Hand  Sanitizer1  litter Refill,,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,435,CLINIPRO (PTY)  LTD,Germkill Hand  Sanitizer1  litter Refill,,3  000,431940.00
Mpumalanga Department of Health (DOH),Mpumalanga,436,KHUNO TRADING,Paintworks  done,,1,22640.63
Mpumalanga Department of Health (DOH),Mpumalanga,437,MERIDIAN HYGIENE,Protective  clothing,,,3467250.00
