EGION,TOTAL AMOUNT SPEND,,,,,,,,,,
HEAD OFFICE,53402159.91,,,,,,,,,,
GAUTENG,20546435.70,,,,,,,,,,
WESTEN CAPE,31819147.82,,,,,,,,,,
EASTEN CAPE,10240353.52,,,,,,,,,,
LIMPOPO MPUMALANGA AND NOTHWEST,11095455.88,,,,,,,,,,
FEESTATE AND NOTHEN CAPE EGION,8071331.90,,,,,,,,,,
KWAZULU NATAL,26434006.23,,,,,,,,,,
TOTAL AMOUNT,127103552.83,,,,,,,,,,
HEAD OFFICE,,,,,,,,,,,
ITEM DESCIPTION,SUPPLIE NAME,COMPANY EGISTATION NO,POCUEMENT POCESS FOLLOWED,ODE DATE,UNIT OF MEASUE,UNIT PICE,ODE QUANTITY,TOTAL PICE,,,
Bethal,N95 masks,Lioa med,2011/013434/23,T 32/2019,3/18/2020,18725.00,,,,,
Bethal,Disposable scub suit,Pomed,2014/162486/07,T 32/2019,3/18/2020,11915.00,,,,,
Bethal,Full face shield,NJD poj,2016/016551/07,Quotations,3/26/2020,21812.50,,,,,
Bethal,Disposable apons,Cente med,1995/003785/07,T 32/2019,3/18/2020,960.00,,,,,
Bethal,Disposable apons,Letsepe,2017/339715/07,Quotations,4/1/2020,415.00,,,,,
Bethal,Non Steile Gloves med,Evegeen,2002/057771/23,T 76/2020,3/18/2020,29916.00,,,,,
Bethal,Non Steile Gloves lage,Evegeen,2002/057771/23,T 76/2020,3/18/2020,29916.00,,,,,
Bethal,supplie cancelled ode,Access med,2012/013099/07,T 76/2020,2020/13/18,29718.00,,,,,
Bethal,Gloves heavy duty,Letsepe,2017/339715/07,Quotations,3/26/2020,1275.00,,,,,
Bethal,Tempeatue Scanne,AQ Dist,2014/092518/07,Quotations,4/9/2020,26000.00,,,,,
Bethal,Tempeatue Scanne,Champion,1985/008714/23,Quotations,4/9/2020,28462.50,,,,,
Bethal,Tempeatue Scanne,Champion,1985/008714/23,Quotations,4/14/2020,28462.50,,,,,
Bethal,supplie cancelled ode,D Temp,2013/120599/07,T 32/2019,3/18/2020,19320.00,,,,,
Bethal,Alcohol based hand sanitise chlohexidine 500ml,Bas phama,2012/056577/07,T 300/20217,3/18/2020,49230.00,,,,,
Bethal,Hand sanitise disinfectant spay 50ml,Bas phama,2012/056577/07,T 300/20217,3/18/2020,49950.00,,,,,
Bethal,Hand sanitise disinfectant spay 500ml,Bas phama,2012/056577/07,T 300/20217,3/18/2020,54800.00,,,,,
Bethal,Hand sanitise disinfectant spay 5lt,Bas phama,2012/056577/07,T 300/20217,3/18/2020,15993.00,,,,,
Bethal,Hand sanitize alcohol base,Cosmos phamacy,2008/140005/23,Quotations,4/2/2020,2500.00,,,,,
Bethal,Spay ai sanitize 500ml,Cosmos phamacy,2008/140005/23,Quotations,4/2/2020,1320.00,,,,,
Bethal,Hand sanitize 70% alcohol,Lynx,88/018201/23,Quotations,4/6/2020,22500.00,,,,,
Bethal,Hand sanitize 70% alcohol,Lynx,88/018201/23,Quotations,4/6/2020,30000.00,,,,,
Bethal,Sanitize hand 70% alcohol,Logan med,2012/056508/23,T Covid19-008,3/28/2020,32200.00,,,,,
Bethal,Sanitize hand 70% alcohol,Taa med,2019/237077/07,T Covid19-008,3/28/2020,29550.00,,,,,
Bethal,Sanitize hand 500ml,Letsepe,2017/339715/07,Quotations,4/1/2020,29830.00,,,,,
Bethal,Soap liquid handwash,Eiesh clean,2007/226814/23,Quotations,3/18/2020,15840.00,,,,,
Bethal,Pape towels,Pomed,2014/162486/07,T 14/2019,3/18/2020,21000.00,,,,,
Bethal,Spay Bottles (1 lites),Globaldyne,2013/102388/07,Quotations,4/1/2020,30000.00,,,,,
Bethal,Plastic Coveed Matesses,NJD poj,2016/016551/07,Quotations,3/26/2020,10000.00,,,,,
Bethal,Matess Cove fo hospitals,Letsepe,2017/339715/07,Quotations,3/26/2020,5085.60,,,,,
Bethal,Bush Sugical Steile (single use),Logan med,2012/056508/23,T 32/2019,3/18/2020,903.00,,,,,
Bethal,Ove shoe non woven (single use),Letsepe,2017/339715/07,Quotations,4/1/2020,425.00,,,,,
Bethal,Sleeve potecto (single use),Letsepe,2017/339715/07,Quotations,4/1/2020,439.50,,,,,
Bethal,Flu Vaccine,Kahma,1997/014365/07,T 285/2019,3/18/2020,119790.00,,,,,
Bethal,Hand sanitize/Soap liquid handwash,BONTLEBATENG,2015/136921/07,Quotations,02/04/2020,28000.00,,,,,
Bethal,Hand Sanitize Gel 6L,Bidvest steine,2000/011155/07,Petty Cash,24.03.2020,931.60,,,,,
Bethal,Spaye Pessue 8L x 2,Hindeland,1984/008258/07,Petty Cash,17.04.2020,519.80,,,,,
ooigond,Sugical mask,Bosane goups,2016/061318/07,Quotation no deviation,28/04/2020,29725.00,,,,,
ooigond,Sugical mask themometes,Kesodi pojects,2012/184843/07,Quotation no deviation,17/04/2020,29980.00,,,,,
ooigond,themometes,Leno geneal poject,2018/469949/07,Quotation no deviation,09/04/2020,28000.00,,,,,
ooigond,hand sanitizesugical gloves maskappon and sleevescove,Letsepe medical sevices supplies,2017/339715/07,Quotation no deviation,08/04/2020,27485.45,,,,,
ooigond,sugical mask and hand sanites,Lynx supplies,1988/018201/23,Quotation no deviation,03/04/2020,29775.00,,,,,
ooigond,sugical mask,Ya Batho events and tavel,2009/024728/23,Quotation no deviation,07/04/2020,29988.00,,,,,
Polokwane Aea,Equipment fo Isolation Containe: Wok Desk,Mako Polokwane,1991/006805/07,Quotation fom Supplie,5/7/2020,3596.00,,,,,
Polokwane Aea,Equipment fo Isolation Containe: Twin Tub Washing Machine,Mako Polokwane,1991/006805/07,Quotation fom Supplie,5/7/2020,6598.00,,,,,
Polokwane Aea,Equipment fo Isolation Containe: Steel Filing Cabinet,Mako Polokwane,1991/006805/07,Quotation fom Supplie,5/7/2020,5398.00,,,,,
Polokwane Aea,Equipment fo Isolation Containe: Steel Gents Wadobe,Mako Polokwane,1991/006805/07,Quotation fom Supplie,5/7/2020,11996.00,,,,,
Polokwane Aea,Equipment fo Isolation Containe: Ai Con 12000 BTU,Mako Polokwane,1991/006805/07,Quotation fom Supplie,5/7/2020,13998.00,,,,,
Polokwane Aea,Equipment fo Isolation Containe: Mico Wave 20lt,Mako Polokwane,1991/006805/07,Quotation fom Supplie,5/7/2020,1798.00,,,,,
Polokwane Aea,Equipment fo Isolation Containe: Ba Fidge,Mako Polokwane,1991/006805/07,Quotation fom Supplie,5/7/2020,3798.00,,,,,
Polokwane Aea,Equipment fo Isolation Containe: Chai Bugandy,Mako Polokwane,1991/006805/07,Quotation fom Supplie,5/7/2020,7380.00,,,,,
Polokwane Aea,Medical Equipment fo Isolation Containe,Ecomed Medical (Pty) Ltd,2016/084766/07,Quotation CSD Supplie,5/20/2020,185534.00,,,,,
"USTENBUG
(USTENBUG C C)",SUGICAL GOWNS  - POCAE,POMED TECHNOLOGIES,2014/162486/07,TCOVID,18/03/2020,11777.00,,,,,
"USTENBUG
(USTENBUG C C)",PAPE TOWELS - POWIPE,POMED TECHNOLOGIES,2014/162486/07,T14-2019,18/03/2020,41812.50,,,,,
"USTENBUG
(USTENBUG C C)",SUGICAL GOWNS - TAA POTECT,LOGAN MEDICAL AND SUGICAL,2012/056508/07,TCOVID,18/03/2020,6000.00,,,,,
"USTENBUG
(USTENBUG C C)",N95 MASKS,LIOA MEDICAL SUPPLIES,2011/013434/23,T32-2019,18/03/2020,107535.00,,,,,
"USTENBUG
(USTENBUG C C)",EXAMINATION GLOVES - EVEGEEN,EVEGEEN LATEX,2002/057771/23,T76-2020,19/03/2020,29916.00,,,,,
"USTENBUG
(USTENBUG C C)",SANITIZE 25L - GOLDEN SUPE,KISLEV SEVICES AND POJECTS,2015/228734/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",25/03/2020,14250.00,,,,,
"USTENBUG
(USTENBUG C C)",LATEX GLOVES - AKACIA MEDICAL,KISLEV SEVICES AND POJECTS,2015/228734/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",25/03/2020,8100.00,,,,,
"USTENBUG
(USTENBUG C C)",SANITIZE 400ML - CLEE,"LECHOBA MEDICAL
TECHNOLOGIES",2005/044442/07,T-COVID,20/03/2020,30375.00,,,,,
"USTENBUG
(USTENBUG C C)",THEMOMETE - FC-I200,SANBONANI HOLDINGS,2004/000822/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",07/04/2020,10500.00,,,,,
"USTENBUG
(USTENBUG C C)",SUGICAL MASKS - CHINESE WITING,AQUA MATIX,2003/019966/23,TCOVID,3/25/2025,19500.00,,,,,
"USTENBUG
(USTENBUG C C)",SANITIZES - BIDVEST,CLUB FUNDS,"USTENBUG CC CLUB DOESN’T
HAVE EGISTATION NUMBE","QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",25/03/2020,5122.62,,,,,
"USTENBUG
(USTENBUG C C)",POTECTIVE CLOTH MASK,STIVING MIND,2010/020427/23,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/12/2020,37200.00,,,,,
"USTENBUG
(USTENBUG C C)",16 LITE SPAYE XP JATCO,OOFICA (PTY) LTD,2018/488656/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/14/2020,7924.98,,,,,
"USTENBUG
(USTENBUG C C)",SUGICAL MASKS,QUALITY MEDICAL,2015/019742/07,TCOVID,3/20/2020,155250.00,,,,,
"USTENBUG
(USTENBUG C C)",FULL FACE SHIELD (POTECTIVE),QUALITY MEDICAL,2015/019742/07,TCOVID,3/20/2020,26000.00,,,,,
"USTENBUG
(USTENBUG C C)",DISPOSABLE APON,QUALITY MEDICAL,2015/019742/07,T 32-2019 :CANCELLED DUE TO NO STOCK.,3/20/2020,3200.00,,,,,
"USTENBUG
(USTENBUG C C)",DISPOSABLE SCUB SUIT,BAS PHAMACEUTICAL,2012/056577/07,T300-2017,3/20/2020,2192.00,,,,,
"USTENBUG
(USTENBUG C C)",ALCOHOL BASED HAND SANITISE,BAS PHAMACEUTICAL,2012/056577/07,T300-2017,3/27/2020,16710.00,,,,,
"USTENBUG
(USTENBUG C C)",ALCOHOL BASED HAND SANITISE-STEINE,CLUB FUNDS,"USTENBUG CC CLUB DOESN’T
HAVE EGISTATION NUMBE","QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",3/30/2020,4404.00,,,,,
"USTENBUG
(MOGWASE CC)",SUGICAL GOWNS  - POCAE,POMED TECHNOLOGIES,2014/162486/07,T32-2019,3/19/2020,5242.60,,,,,
"USTENBUG
(MOGWASE CC)",SAFETY GOGGLES- DOMEX,LECHOBA MEDICAL,2005/044442/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/2/2020,26360.00,,,,,
"USTENBUG
(MOGWASE CC)",SUGICAL GLOVES- EVEGEEN,EVEGEEN LATEX,2002/057771/23,T32-2019,3/19/2020,11318.22,,,,,
"USTENBUG
(MOGWASE CC)",HEAVY DUTY UBBE CLEANING GLOVES -SALVATEX,MISHMAK POJECTS,2018/307081/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",3/23/2020,9200.00,,,,,
"USTENBUG
(MOGWASE CC)",QUAANTINED TENT-NO BANDING,OATE SA POJECTS,2017/330128/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/3/2020,,,,,,
"USTENBUG
(MOGWASE CC)",TEMPEATUE SCANNE -CAE FO YOU,LECHOBA MEDICAL,2005/044442/07,TCOVID,4/8/2020,8093.40,,,,,
"USTENBUG
(MOGWASE CC)",SANITIZE 25L - GOLDEN SUPE,KISLEV SEVICES,2015/228734/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",3/27/2020,,,,,,
"USTENBUG
(MOGWASE CC)",SUGICAL MUSK-CHINESE WITINGS,KWENATLASE TADING,2009/134829/23,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/1/2020,,,,,,
"USTENBUG
(MOGWASE CC)",SANITIZE 400ML - CLEE,LECHOBA MEDICAL,2005/044442/07,TCOVID,3/23/2020,,,,,,
"USTENBUG
(MOGWASE CC)",SUGICAL MASKS -OUTSTANDING,QUALITY MEDICAL SUPPLIES,2015/019742/07,TCOVID,3/27/2020,27945.00,,,,,
"USTENBUG
(MOGWASE CC)",ALCOHOL HAND BASED SANITISE-STEISOL,BAS PHAMACETICAL,2012/056577/07,T300-2018,3/19/2020,16410.00,,,,,
"USTENBUG
(MOGWASE CC)",PAPE TOWELS-PO WIPE,POMED TECHNOLOGIES,2014/162486/07,T 14,3/19/2020,11150.00,,,,,
"USTENBUG
(MOGWASE CC)",70% ALCOHOL HAND BASED SANITISE,CLUB FUNDS,MOGWASE CC CLUB DOESN’T HAV,"Q UEOGTISATTIAOTNIO -DNU NEU TMOB NEON DELIVEY OF T
CONACT COMPANIES",3/20/2020,14250.00,,,,,
"USTENBUG
(MOGWASE CC)",POTECTIVE CLOTH MASK-NO BANDING,STIVING MIND,2010/020427/23,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/12/2020,27600.00,,,,,
"USTENBUG
(MOGWASE CC)",16 LITE SPAYE XP JATCO,OOFICA (PTY) LTD,2018/488656/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/14/2020,7924.98,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",DIGITAL BODY THEMOMETE-OUTSTANDING,MULTISUGE (PTY) LTD,2014/170364/07,TCOVID,3/25/2020,11500.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",SUFACE SANITIZE 70% ALOCOHOL,OOTFICA (PTY) LTD,2018/488656/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/21/2020,28275.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",MASKS N95-PATIAL DELIVEY,LIOA MEDICAL SUPPLIES,2011/013434/23,T32-2019,3/18/2020,11235.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",HAND SANITIZES 70% ALCOHOL,LECHOBA MEDICAL TECHNOLOGIE,2005/044442/07,TCOVID,3/20/2020,30375.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",SUGICAL MASKS,CHEMICAL WOLD CC,2019/253242/07,T32-2019,3/18/2020,224250.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",DISPOSABLE APONS,CENTAL MEDICAL,1995/003785/07,T 32-2019 :CANCELLED DUE TO NO STOCK.,3/18/2020,3200.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",GLOVES EXAMINATIONS NON STEILE LAGE,POMED TECHNOLOGIES,2014/162486/07,T32-2019,3/19/2020,46000.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",GLOVES EXAMINATIONS NON STEILE X-LAGE,POMED TECHNOLOGIES,2014/162486/07,T32-2019,3/19/2020,46000.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",SPAYE 16LT XP JATCO,OOTFICA (PTY) LTD,2018/488656/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/15/2020,11887.47,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",SANNITIZES 70% 500ML ALCOHOL,BAS PHAMACITICAL,2012/056577/07,T300-2017,3/18/2020,2368.50,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",CHLOHEXIDINE 4% SUGICAL SCUB 500ML,BAS PHAMACITICAL,2012/056577/07,T300-2017,3/19/2020,21150.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",HAND PAPE TOWELS,POMED TECHNOLOGIES,2014/162486/07,T 14 - CANCELLED DUE TO NO STOCK.,3/19/2020,2787.50,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",MASKS SUGICAL,QUALITY MEDICAL SUPPLIES,2003/019966/23,TCOVID,3/20/2020,155250.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",FULL FACE SHIELD GOOGLES,AC TECHNOLOGY,2017/162066/07,TCOVID,3/20/2020,11200.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",SUGICAL GOWNS NON WOOVEN,LOGAN MEDICAL AND SUGICAL S,2P0P1L2IE/0S56508/07,T32-2019,3/20/2020,10000.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",DISPOSABLE GOWNS-OUTSTANDING,LOGAN MEDICAL AND SUGICAL S,2P0P1L2IE/0S56508/07,T32-2019,3/18/2020,4025.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",MASKS FACE WASHABLE,STVING MIND TADING62CC,2010/020427/23,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/12/2020,55200.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",MASKS FFP1 (120 BX),LENONG GENEAL POJECTS,2018/469949/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",3/4/2020,24000.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",SUGICAL GLOVES,LENONG GENEAL POJECTS,2018/469949/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",3/4/2020,5000.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",TEMPEATUE SCANNES INFAED,YA BATHO TAVEL AND EVENTS M,2N0A0G9/E0M24E7N2T8/23,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/7/2020,28800.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",16 LITE SPAYE XP JATCO,OOTFICA (PTY) LTD,2018/488656/07,"QUOTATION -DUE TO NON DELIVEY OF T
CONACT COMPANIES",4/14/2020,11887.87,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",SUGICAL MASK-BIDVEST STEINE,CLUB FUNDS,LOSPEFONTEIN CC CLUB DOESN’T,"QHAUVOET ATEIGOINST -DAUTEIO TNO  NUOMNB DEELIVEY OF T
CONACT COMPANIES",3/30/2020,1290.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",GLOVES LATEX-AQUA MEDICAL,CLUB FUNDS,LOSPEFONTEIN CC CLUB DOESN’T,"QHAUVOET ATEIGOINST -DAUTEIO TNO  NUOMNB DEELIVEY OF T
CONACT COMPANIES",3/30/2020,1035.00,,,,,
"USTENBUG
(LOSPEFONTEIN CC)",70% ALCOHOL HAND BASED SANITISE,CLUB FUNDS,LOSPEFONTEIN CC CLUB DOESN’T,"QHAUVOET ATEIGOINST -DAUTEIO TNO  NUOMNB DEELIVEY OF T
CONACT COMPANIES",3/30/2020,5609.20,,,,,
Kleksdop,Diagnostic Set Univesal (ENT Set),K2020104067 (PTY) LTD,2020/104067/07,pice quotation (deviated fom T2-2016),26.06.2020,30000.00,,,,,
Kleksdop,ossmax (BP Monitoing Machine),K2020104067 (PTY) LTD,2020/104067/07,pice quotation (deviated fom T2-2016),26.06.2020,15000.00,,,,,
Kleksdop,Contou (Gloco Mete ),K2020104067 (PTY) LTD,2020/104067/07,pice quotation (deviated fom T2-2016),26.06.2020,8000.00,,,,,
Kleksdop,Nebmiko (Nebulize),K2020104067 (PTY) LTD,2020/104067/07,pice quotation (deviated fom T2-2016),26.06.2020,6000.00,,,,,
Kleksdop,Fibe Optic (Layngoscope),K2020104067 (PTY) LTD,2020/104067/07,pice quotation (deviated fom T2-2016),26.06.2020,15000.00,,,,,
Witbank,Sugical masks. No banding,Ndzalama Entepise,2015/052123/07,Pice quotation,3/30/2020,30000.00,,,,,
Witbank,Sugical masks. No banding,Ndzalama Entepise,2015/052123/07,Pice quotation,3/25/2020,20000.00,,,,,
Witbank,Sugical masks. No banding,MM Consulting,2015/422861/07,Pice quotation,4/7/2020,29700.00,,,,,
Witbank,Sugical masks. No banding,Melon Finance,2016/201254/07,Pice quotation,4/21/2020,29920.00,,,,,
Witbank,Sugical masks. No banding,Malmat Consulting,2013/216160/07,Pice quotation,4/1/2020,29920.00,,,,,
Witbank,Sugical masks. No banding,Dyna MM Holdings,2017/453183/07,Pice quotation,4/20/2020,29450.00,,,,,
Witbank,Sugical masks. No banding,Masedi Sta Taiding Pojects,2012/077477/07,Pice quotation,4/20/2020,29450.00,,,,,
Witbank,Sugical masks. No banding,Kgaoza Tading,2018/023042/07,Pice quotation(cancelled),4/21/2020,29906.40,,,,,
Witbank,N95 masks. No banding,Blazetonics,2020/020418/07,Pice quotation,3/25/2020,14625.00,,,,,
Witbank,Dust masks. No banding,C Dimoewa,2016/290493/07,Pice quotation,3/30/2020,29250.00,,,,,
Witbank,Pine Gel. No banding,Agela Tading,2009/229370/23,Pice quotation,4/24/2020,25600.00,,,,,
Witbank,Pine Gel. No banding,Goamose Tading,2019/309212/07,Pice quotation,4/7/2020,15000.00,,,,,
Witbank,Washable cloth masks. No banding,Afican BA Tlakoa,2012/220636/07,Pice quotation,5/6/2020,29900.00,,,,,
Witbank,Disposable Gown. No banding,POMED,2014/1624486/07,T32-2019,3/23/2020,6575.80,,,,,
Witbank,Disposable Gown. No banding,POMED,2014/1624486/07,T32-2019,4/1/2020,6575.80,,,,,
Witbank,Full face shield (Potective goggles). No banding,Thobalwa Taiding Pty Ltd,2016/096951/07,Pice quotation,3/24/2020,17206.00,,,,,
Witbank,Disposable apons. No banding,Cental Medical Pty Ltd,1995/003785/07,Pice quotation,3/25/2020,1280.00,,,,,
Witbank,Gloves latex disposable. No banding,Pomed Technologies,2014/1624486/07,Ntonal teasuy contactT76-2020,4/17/2020,4600.00,,,,,
Witbank,Gloves latex disposable. No banding,Zeelwa Tading,2012/079149/07,Pice quotation,3/26/2020,14009.00,,,,,
Witbank,Gloves latex disposable. No banding,NS Sila Company Pty,2020/100032/07,Pice quotation,4/9/2020,8925.00,,,,,
Witbank,Gloves latex disposable. No banding,Anemone Pojects,2017/225714/07,Pice quotation,4/14/2020,28000.00,,,,,
Witbank,Gloves latex disposable. No banding,Pomed,2014/1624486/07,T14-2019,4/15/2020,46600.00,,,,,
Witbank,Gloves latex disposable. No banding,Geomat & Pojects Pty LTD,2017/074716/07,Pice quotation,4/7/2020,28000.00,,,,,
Witbank,Tempeatue Scanne. No banding,Ecomed Medical,2016/084766/07,National teasuy T300-2017,3/23/2020,1814.50,,,,,
Witbank,Tempeatue Scanne. No banding,Majamela Holdings,2019/176225/07,Pice quotation,3/23/2020,29565.00,,,,,
Witbank,Tempeatue Scanne. No banding,TIPhama Pty Ltd,2013/179232/07,Pice quotation,4/8/2020,20997.55,,,,,
Witbank,Tempeatue Scanne. No banding,Isibane taning Academy,2016/481835/07,Pice quotation,4/8/2020,28692.50,,,,,
Witbank,Alcohol based hand sanitise. Hand scub and hand ub. No banding,Bas Phama,2012/056577/07,National teasuy T300-2017,4/1/2020,49230.00,,,,,
Witbank,Alcohol based hand sanitise. Hand scub and hand ub. No banding,Bas Phama,2012/056577/07,National teasuy T300-2017,4/17/2020,65760.00,,,,,
Witbank,Alcohol based hand sanitise. Hand scub and hand ub. No banding,Bas Phamaceutical,2012/056577/07,National teasuy T300-2017,4/16/2020,32880.00,,,,,
Witbank,Biocide D / Bleach. No banding,Thobalwa Tading,2016/096951/07,Pice quotation,4/1/2020,17388.00,,,,,
Witbank,Biocide D / Bleach. No banding,Mashphoniq investments,2019/067737/07,Pice quotation,4/3/2020,15657.20,,,,,
Witbank,Biocide D / Bleach. No banding,Engymak,2011/009359/23,Pice quotation,4/7/2020,25000.00,,,,,
Witbank,Biocide D / Bleach. No banding,VULANOBHETHE,2018/228444/07,Pice quotation,4/20/2020,18600.00,,,,,
Witbank,Methylated spiit. No banding,KAP TADING,2018/525484/07,Pice quotation,4/17/2020,9600.00,,,,,
Witbank,Pape towels. No banding,Pomed,2014/1624486/07,Ntonal teasuy contactT14-2019,3/26/2020,26250.00,,,,,
Witbank,Pape towels. No banding,Pomed,2014/1624486/07,Ntonal teasuy contactT14-2019,4/2/2020,26250.00,,,,,
Witbank,Pape towels. No banding,Pomed,2014/1624486/07,Ntonal teasuy contactT14-2019,4/7/2020,31500.00,,,,,
Witbank,Pape Towel Dispense. No banding,Shosho Industial,2003/009940/03,Pice quotation,4/9/2020,14855.00,,,,,
Witbank,ubbe boots (Gumboots). No banding,MVN Holdings,2016/212114/07,Pice quotation,3/24/2020,25998.00,,,,,
Witbank,Spill kits biological. No banding,Lihone Investment,2018/400561/07,Pice quotation,3/24/2020,14415.00,,,,,
Witbank,Spay Bottles. No banding,Ike Chemicals Taiding & Pojects,2005/151627/23,Pice quotation,4/1/2020,1000.00,,,,,
Witbank,Spay Bottles. No banding,Hinteland SA (Pty) Ltd,2012/035806/07,Pice quotation,4/15/2020,1819.30,,,,,
Witbank,Disposable Linen . No banding,POMED,2014/1624486/07,Ntonal teasuy contactT14-2019,4/24/2020,4360.00,,,,,
Witbank,Disposable Linen . No banding,Dlakadla Image Holding,2017/440256/07,Pice quotation,3/31/2020,20180.00,,,,,
Witbank,N1BP + SPO2 monito on tolley. No banding,Class Thee Medical Solution,2017/535986/07,National teasuy contactT297-2019,4/27/2020,92092.00,,,,,
Witbank,HB Mete. No banding,Tanspham,1994/006582/07,wholesale,4/27/2020,9068.79,,,,,
Witbank,Stethoscope. No banding,Bioclin Solutions,199/046282/23,Pice quotation,4/27/2020,1907.80,,,,,
Witbank,Nebulize. No banding,Tanspham,1994/006582/07,wholesale,4/27/2020,4114.13,,,,,
Witbank,Flu Vaccine. No banding,Kahma Biotech Pty Ltd,1997/014365/07,Pice quotation,3/31/2020,23958.00,,,,,
Witbank,Flu Vaccine. No banding,Kahma Biotech Pty Ltd,1997/014365/07,Pice quotation,4/23/2020,15972.00,,,,,
Witbank,Disinfectant (Black Dip). No banding,Ike Chemicals Taiding & Pojects,2005/151627/23,Pice quotation,3/31/2020,28800.00,,,,,
Witbank,Disinfectant (Black Dip). No banding,Entandweni Pojects,2019/3230707/07,Pice quotation,5/1/2020,23400.00,,,,,
Witbank,Heavy duty gloves. No banding. No banding,Bclean,2019/550612/07,Pice Qoutation,3/25/2020,21037.50,,,,,
Witbank,Wall Unit hand fee sanitize. No banding,Isibane Tading Academy,2016/481835/07,Pice quotation,4/8/2020,9918.75,,,,,
Witbank,Bath Soaps. No banding,Maoala Entepise,2013/212542/07,Pice quotation,3/30/2020,29265.00,,,,,
Witbank,Bath Soaps. No banding,Phalama Potection,2016/176993/07,Pice quotation,3/30/2020,26970.00,,,,,
Witbank,Bath Soaps. No banding,Munyamani Holdings,2017/408887/07,Pice quotation,4/9/2020,27500.00,,,,,
Witbank,Sanitize . No banding,Livijo Investment,2018/400575/05,Pice quotation,3/26/2020,29975.00,,,,,
Witbank,Sanitize . No banding,Mathasi Taiding,2015/040400/07,Pice quotation,3/30/2020,27900.00,,,,,
Witbank,Sanitize . No banding,M Logistics Pty Ltd,2017/165614/07,Pice quotation,3/31/2020,29950.00,,,,,
Witbank,Sanitize. No banding,Vhakololo Holdings,2017/224212/07,Pice quotation,3/31/2020,29950.00,,,,,
Witbank,Sanitize. No banding,"Good Mannes Tading and
Pojects",2009/210617/23,Pice quotation,4/1/2020,28750.00,,,,,
Witbank,Sanitize. No banding,Applex Pojects,2013/046365/07,Pice quotation,4/2/2020,28750.00,,,,,
Witbank,Sanitize. No banding,Mmalesedi Investments,2018/517769/07,Pice quotation,4/2/2020,30000.00,,,,,
Witbank,Sanitize. No banding,Ndzalama Entepise,2015/052123/07,Pice quotation,3/30/2020,30000.00,,,,,
Witbank,Sanitize. No banding,Keole Tading Entepise,2011/065198/23,Pice quotation,4/9/2020,29450.00,,,,,
Witbank,Sanitize. No banding,hyson,2020/140716/07,Pice quotation,4/9/2020,28997.50,,,,,
Witbank,ed efuse bag heavy duty. No banding,Peal bush,2017/228196/07,Pice quotation,4/15/2020,3200.00,,,,,
