buyer_name,supplier_name,items_description,cost_per_unit_zar,order_amount_zar
Public Works and Infrastructure,Pienaar Bros,Cloth masks,26337.00,
Public Works and Infrastructure,Pika Chemical and Technology,Supply and delivery of surgical latex gloves,215250.00,
Public Works and Infrastructure,Pitoza Trading,Decontamination PTA High Court,386203.00,
Public Works and Infrastructure,Plan B Trolley Engineering,First extension of Hiring (Supply and delivery of mobile toilets for 11days),69288.00,
Public Works and Infrastructure,Plan B Trolley Engineering,Hiring (Supply and delivery of mobile toilets) for 3 days,9200.00,
Public Works and Infrastructure,Plan B Trolley Engineering,Purchase of masks; gloves; sanitisers,270884.00,
Public Works and Infrastructure,Plan B Trolley Engineering,Second extension of Hiring (Supply and delivery of mobile toilets for 14 days),97750.00,
Public Works and Infrastructure,PMTN Aretsi,Cleaning services during COVID-19,94790.00,
Public Works and Infrastructure,PMTN Aretsi,Cleaning services during COVID-19,74478.00,
Public Works and Infrastructure,PMTN Aretsi,Cleaning services during COVID-19,135415.00,
Public Works and Infrastructure,Praxos 215 CC,Cleaning services during COVID-19,207710.00,
Public Works and Infrastructure,President Hotel - Bloemfontein,Accommodation: Quarantine Site,1150.00,
Public Works and Infrastructure,President Hotel - Cape Town,Accommodation: Quarantine Site,1035.00,
Public Works and Infrastructure,Profteam cc,Beitbridge phase 1 borderline infrastructure and installation: Principal Agent,3259071.00,
Public Works and Infrastructure,Pronto Kleen,Cleaning contracts - Lockdown,32122.00,
Public Works and Infrastructure,Pronto Kleen,Cleaning contracts - Lockdown,34218.00,
Public Works and Infrastructure,Pronto Kleen,Cleaning contracts - Lockdown,74764.00,
Public Works and Infrastructure,Pronto Kleen,Cleaning contracts - Lockdown,74765.00,
Public Works and Infrastructure,Protea Hotel Balalaika - JHB,Accommodation: Quarantine Site,1200.00,
Public Works and Infrastructure,Protea Hotel Durbanville - CPT,Accommodation: Quarantine Site,950.00,
Public Works and Infrastructure,Pully n Onolo Trading,Rendering of Additional Cleaning Service  - Mothibistad Magistrate Court,7500.00,
Public Works and Infrastructure,PVZ Security and Cleaning Services,Cleaning magistrate Court: Jamestown,59418.00,
Public Works and Infrastructure,PVZ Security and Cleaning Services,Cleaning Magistrate courts  Jamestown,29555.00,
Public Works and Infrastructure,PVZ Security and Cleaning Services,Cleaning Magistrate courts Dordretch Jamestown,22545.00,
Public Works and Infrastructure,PVZ Security and Cleaning Services,Cleaning Magistrate courts Dordretch Jamestown,17244.00,
Public Works and Infrastructure,PVZ Security and Cleaning Services,Cleaning Magistrate courts: Lady Frere,29555.00,
Public Works and Infrastructure,PVZ Security and Cleaning Services,Cleaning Magistrate courts: Lady Frere and Cala,23275.00,
Public Works and Infrastructure,PVZ Security and Cleaning Services,Cleaning Magistrate courts: Lady Frere and Cala,17244.00,
Public Works and Infrastructure,PVZ Security and Cleaning Services,Cleaning Magistrate courts:Cala,29555.00,
Public Works and Infrastructure,Radisson Blu - Gautrain,Accommodation: Quarantine Site,1000.00,
Public Works and Infrastructure,Radisson Blu Park Inn Newlands – Cape Town,Accommodation: Quarantine Site,1200.00,
Public Works and Infrastructure,Radisson Red V & A Waterfront,Accommodation: Quarantine Site,1350.00,
Public Works and Infrastructure,Ramooseeka Mejeni Trading & Projects,"Dealesville, 16 Skool str, 33 Meyer str",6800.00,
Public Works and Infrastructure,Ranzo Holdings,Reddersburg Magistrate Office: Service for April 2020,10000.00,
Public Works and Infrastructure,Ranzo Holdings,Reddersburg Magistrate Office: Service for MAY 2020,10000.00,
Public Works and Infrastructure,Rassol Clean,Cleaning contracts - Lockdown,32778.00,
Public Works and Infrastructure,Rassol Clean,Cleaning contracts - Lockdown,33477.00,
Public Works and Infrastructure,Rassol Clean,Decontamination of Parliamentary Villages,211445.00,
Public Works and Infrastructure,Relekane Guest House,Accommodation: Quarantine Site,1000.00,
Public Works and Infrastructure,Rhafiso Trading,Cleaning Magistrate courts: Elliot,18500.00,
Public Works and Infrastructure,Rhafiso Trading,Cleaning Magistrate courts: Elliot,17000.00,
Public Works and Infrastructure,Rhafiso Trading,Cleaning Magistrate courts: Indwe,19800.00,
Public Works and Infrastructure,Rhafiso Trading,Cleaning Magistrate courts: Indwe,18300.00,
Public Works and Infrastructure,Rock Solutions Security Services,Cleaning Magistrate courts : Lusikisiki,22618.00,
Public Works and Infrastructure,Rozdk Suppliers,Purchasing of 370 face shields,25900.00,
Public Works and Infrastructure,S and S Group,Deep cleaning  Magistrate office: Ehlanzeni cluster 4,85582.00,
Public Works and Infrastructure,SA Fence and Gate (Pty) Ltd,Fencing : Salvokop Quarantine site,289075.00,
Public Works and Infrastructure,SA Fence and Gate (Pty) Ltd,PTA West Quarantine Site ( fence),547485.00,
Public Works and Infrastructure,Saint Georges Hotel,Accommodation: Quarantine Site,1150.00,
Public Works and Infrastructure,Samcho cleaning,Cleaning contracts - Lockdown,12558.00,
Public Works and Infrastructure,Samcho cleaning,Cleaning contracts - Lockdown,13489.00,
Public Works and Infrastructure,Samcho cleaning,Cleaning contracts - Lockdown,15583.00,
Public Works and Infrastructure,Samcho cleaning,Cleaning contracts - Lockdown,22701.00,
Public Works and Infrastructure,Samcho cleaning,Cleaning contracts - Lockdown,27379.00,
Public Works and Infrastructure,Samcho cleaning,Cleaning contracts - Lockdown,27379.00,
Public Works and Infrastructure,Samcho cleaning,Cleaning contracts - Lockdown,38433.00,
Public Works and Infrastructure,Samcho cleaning,Cleaning of court: Robertson & Laingsburg,27379.00,
Public Works and Infrastructure,Samcho cleaning,Decontamination of Dept Justice Area 6,12558.00,
Public Works and Infrastructure,Samcho cleaning,Decontamination of various buildings for 6 months,248400.00,
Public Works and Infrastructure,Samjem Trading,Vrede Magistrate Office: Service for April 2020,5749.00,
Public Works and Infrastructure,Samjem Trading,Vrede Magistrate Office: Service for MAY 2020,5749.00,
Public Works and Infrastructure,Sanitec,2 x 10 block Berth showers,286488.00,
Public Works and Infrastructure,Sanitec,2 x 10 block Berth showers,286488.00,
Public Works and Infrastructure,Sanitec,2 x 10 block Berth showers,57270.00,
Public Works and Infrastructure,Sanitec,"10 x toilets, 10x Berth shower and Services",374440.00,
Public Works and Infrastructure,Sanitec,20 Bins,18975.00,
Public Works and Infrastructure,Sanitec,"5 x toilets, 5x Berth shower and Services",66930.00,
Public Works and Infrastructure,Sanitec,Extra Hire ( Provision for supply and delivery of 10 mobile toilets 10 Berth shower 11 days),165683.00,
Public Works and Infrastructure,Sanitec,Hiring (supply and delivery of  Mobile Toilets and Berth Showers -Refugees accommodation for 5 days),66930.00,
Public Works and Infrastructure,Sanitec,Hiring (Supply and delivery of Mobile Toilets and Bert Showers - Refugees accommodation for May),171810.00,
Public Works and Infrastructure,Sanitec,"Hiring (supply and delivery of sanitary bin 11
 days -Refugees accommodation)",18975.00,
Public Works and Infrastructure,Sanitec,Second extension of hiring- (Provision for supply and delivery of 10 mobile toilets for 14 days),374440.00,
Public Works and Infrastructure,Scend Trading,Cleaning services @ PTA Magistrate Court,214419.00,
Public Works and Infrastructure,Sdikadika and Projects PTY,Rendering of Additional Cleaning Service  - Kuruman Magistrate Court,8000.00,
Public Works and Infrastructure,Sebatsi,Steynsrus Magistrate Office: Service for April 2020,8280.00,
Public Works and Infrastructure,Sebatsi,Steynsrus Magistrate Office: Service for JULY 2020,8280.00,
Public Works and Infrastructure,Sebatsi,Steynsrus Magistrate Office: Service for JUNE 2020,8280.00,
Public Works and Infrastructure,Sebatsi,Steynsrus Magistrate Office: Service for MAY 2020,8280.00,
Public Works and Infrastructure,Sebenza Chem,25l Sanitazer,11900.00,
Public Works and Infrastructure,Sekute Trading,Marquard Magistrate Office: Service for April 2020,12000.00,
Public Works and Infrastructure,Sekute Trading,Marquard Magistrate Office: Service for MAY 2020,349059.00,
Public Works and Infrastructure,Semi Clean,To be used by officials for vehicles,1200.00,
Public Works and Infrastructure,Senzangakhona Trading,Cleaning services @ Bronkhorstspruit Court,75300.00,
Public Works and Infrastructure,Senzangakhona Trading,Cleaning services @ Bronkhortspruit Court,753007.00,
Public Works and Infrastructure,Senzangakhona Trading,Cleaning services @ Ekangala Court,496554.00,
Public Works and Infrastructure,Senzangakhona Trading,Cleaning services @ Ekangala Court,49650.00,
Public Works and Infrastructure,Servest(Pty)Ltd,Decontamination of DPW Offices and Magistrate(Capricorn District),293733.00,
Public Works and Infrastructure,Servest(Pty)Ltd,Decontamination of DPW Offices and Magistrate(Capricorn District),293733.00,
Public Works and Infrastructure,Servest(Pty)Ltd,Decontamination of Magistrate( Sekhukhune District),227149.00,
Public Works and Infrastructure,Servest(Pty)Ltd,Decontamination of Magistrate(Mopani District),276673.00,
Public Works and Infrastructure,Servest(Pty)Ltd,Decontamination of Magistrate(Vhembe District),398502.00,
Public Works and Infrastructure,Servest(Pty)Ltd,Decontamination of Magistrate(Waterburg District),266255.00,
Public Works and Infrastructure,Setlhos General,Cleaning Services Vryburg,38870.00,
Public Works and Infrastructure,Shabba Man Trading,Cluster 6 Courts: Cleaning and Decontamination of facilities,79066.00,
Public Works and Infrastructure,Shine the way 649 CC,Purchase of 555 cloth face masks,13875.00,
Public Works and Infrastructure,Signature Lux Hotel Foreshore - CPT,Accommodation: Quarantine Site,790.00,
Public Works and Infrastructure,Sikhanyisile Cleaning Ltd,Provision of cleaning services at South Gauteng High Court (JHBE19/276),112807.00,
Public Works and Infrastructure,Sikhanyisile Cleaning Ltd,Provision of cleaning services at South Gauteng High Court (JHBE19/276),190034.00,
Public Works and Infrastructure,Sikhanyisile Cleaning Ltd,Provision of cleaning services at South Gauteng High Court (JHBE20/018),190034.00,
Public Works and Infrastructure,Sikhanyisile Cleaning Ltd,Provision of cleaning services at South Gauteng High Court (JHBE20/018),112807.00,
Public Works and Infrastructure,Sikhanyisile Cleaning Ltd,Provision of cleaning services at South Gauteng High Court (JHBE20/019),820154.00,
Public Works and Infrastructure,SIM & LIYA,Generator,16470.00,
Public Works and Infrastructure,Six Sons (PTY) Ltd T/A Kloppers,Kettle and Heaters for Isolation areas,2000.00,
Public Works and Infrastructure,Siyamthanda Trading,Deep Cleaning at AVN Building,243721.00,
Public Works and Infrastructure,Siyamthanda Trading,Purchase And Delivery Of Disposable Aprons For All Cleaning Staff,340000.00,
Public Works and Infrastructure,Siyanqoba Grass Cutting,Emergency Procurement Delegation. Estimated Cost,11424.00,
Public Works and Infrastructure,SkitterBlink Cleaning Services,Decontamination for 27 July (3101m2@R3.22p/m2,9985.00,
Public Works and Infrastructure,Smartinss Agencies,Emergency Procurement Delegation with 4 Quotes obtained.,98693.00,
Public Works and Infrastructure,Smartinss Agencies,Emergency Procurement Delegation with 5 Quotes obtained.,184289.00,
Public Works and Infrastructure,Smartinss Agencies,Emergency Procurement Delegation with 5 Quotes obtained.,314701.00,
Public Works and Infrastructure,South End Environmental Services,Cleaning contracts - Lockdown,185898.00,
Public Works and Infrastructure,SPAR,Purchase of Batteries for Temperature scanners @ CGO,134.00,
Public Works and Infrastructure,SPS Creative Events,Emergency Procurement Delegation: One Quotation,11700.00,
Public Works and Infrastructure,St John,Supply of first aid kit,6222.00,
Public Works and Infrastructure,Steiner Hygeine (PTY) LTD,Hand Sanitisers and gloves to be used by officials,2000.00,
Public Works and Infrastructure,Steiner Hygeine (PTY) LTD,Masks to be used by officials,2000.00,
Public Works and Infrastructure,Steiner Hygeine (PTY) LTD,To decontaminate vehicles,966.00,
Public Works and Infrastructure,Sthabiso Business Enterprise,PTA West Quarantine Site ( building),136388.00,
Public Works and Infrastructure,Superfecta Trading 209,"Electrical services, Salvokop Quarantine site",229912.00,
Public Works and Infrastructure,Supra Health Care,Powdered Gloves,14385.00,
Public Works and Infrastructure,Tadala Projects,Deep cleaning  Magistrate office: Ehlanzeni cluster 3,123642.00,
Public Works and Infrastructure,Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort, Krugersdorp and Randfontein Magistrate Courts (JHBE19/274)",96979.00,
Public Works and Infrastructure,Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort,
 Krugersdorp and Randfontein Magistrate
 Courts (JHBE19/274)",268381.00,
Public Works and Infrastructure,Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort, Krugersdorp and Randfontein Magistrate Courts (JHBE20/016)",198763.00,
Public Works and Infrastructure,Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort,
 Krugersdorp and Randfontein Magistrate
 Courts (JHBE20/016)",268381.00,
Public Works and Infrastructure,Thabe Wa Nape Contracting cc,"Provision of cleaning services at Roodepoort, Krugersdorp and Randfontein Magistrate Courts (JHBE20/016)",96979.00,
Public Works and Infrastructure,Thakwabless Trading,Rendering of Deep Cleaning at Momentum,495419.00,
Public Works and Infrastructure,The reeds cleaning,Deep cleaning  Magistrate office : Ehlanzeni cluster 5,136800.00,
Public Works and Infrastructure,The reeds cleaning,Deep cleaning NDPW Nelspruit  office : Ehlanzeni cluster 6,77400.00,
Public Works and Infrastructure,The Terminator,Emergency Procurement Delegation with 2 Quotes obtained.,1998.00,
Public Works and Infrastructure,Themihlase,Justice Various Magistrate Courts: UMgungundlovu District Municipality: Decontamination of facilities,1877246.00,
Public Works and Infrastructure,Thozama & Parents,"Emergency Procurement Delegation.
 Estimated Cost",18240.00,
Public Works and Infrastructure,Tipp Focus Holdings,Network / Security specialist,2382800.00,
Public Works and Infrastructure,Tjabele Pty Ltd,Cleaning services during COVID-19,154581.00,
Public Works and Infrastructure,Tjabele Pty Ltd,Cleaning services during COVID-19,196740.00,
Public Works and Infrastructure,Tjabele Pty Ltd,Cleaning services during COVID-19,295110.00,
Public Works and Infrastructure,Tlhomamo Trading,Decontamination of MMB RO Dada Building,19840.00,
Public Works and Infrastructure,Tlhomamo Trading,Decontamination of state property Group 2,203466.00,
Public Works and Infrastructure,Tropical Eden Trading 164 cc,Cleaning Magistrate courts: Maluti and Matatiele,34247.00,
Public Works and Infrastructure,Tropical Eden Trading 164 cc,Cleaning Magistrate courts: Maluti and Matatiele,31372.00,
Public Works and Infrastructure,Tropical Eden Trading 164 cc,Cleaning Magistrate courts: MT FLETCHER,32206.00,
Public Works and Infrastructure,Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,23149.00,
Public Works and Infrastructure,Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,44190.00,
Public Works and Infrastructure,Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,54628.00,
Public Works and Infrastructure,Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,98735.00,
Public Works and Infrastructure,Tsebo Cleaning Solutions,Cleaning contracts - Lockdown,111112.00,
Public Works and Infrastructure,Tshedik Investments,Purchasing of 1 litre plastic trigger spray bottles,7204.00,
Public Works and Infrastructure,Tshedik Investments,Purchasing of 1 litre plastic trigger spray bottles,7204.00,
Public Works and Infrastructure,Tshidime Trading,20 Mobile Toilets and 20 Sanitary Bins,89700.00,
Public Works and Infrastructure,Tshidime Trading,"20 x toilets, 20 x Bins , Services and soap",89700.00,
Public Works and Infrastructure,Tshidime Trading,Hiring of 2 x 10 Berth block showers,249300.00,
Public Works and Infrastructure,Tshidime Trading,Hiring of 2 x 10 Berth block showers,203280.00,
Public Works and Infrastructure,Tshidime Trading,Hiring of Toilets and Sanitary 20 Bins,97300.00,
Public Works and Infrastructure,Tshidime Trading,Hiring of Toilets and Sanitary 20 Bins,89100.00,
Public Works and Infrastructure,Tshidime Trading,Hiring of Toilets and Sanitary 20 Bins,14595.00,
Public Works and Infrastructure,Tshidime Trading,Mobile Toilets and Sanitary 20 Bins,89700.00,
Public Works and Infrastructure,Tshidime Trading,Supply and delivery of 2X10 Berth Mobile Showers,274400.00,
Public Works and Infrastructure,Tshimangi accommodation,Cleaning services,26764.00,
Public Works and Infrastructure,Tshimangi accommodation,Cleaning services,12109.00,
Public Works and Infrastructure,Tshimangi accommodation,Cleaning services,11695.00,
Public Works and Infrastructure,Tshimangi accommodation,Cleaning services,14953.00,
Public Works and Infrastructure,Tshimangi accommodation,Cleaning services,20478.00,
Public Works and Infrastructure,Tshwarella Ka Thata Trading and Projects 16,"Ficksburg, 1 Kort Str",8500.00,
Public Works and Infrastructure,Tsoela Development,Batho Magistrate Office: Service for April 2020,9556.00,
Public Works and Infrastructure,Tsoela Development,Batho Magistrate Office: Service for JULY 2020,9556.00,
Public Works and Infrastructure,Tsoela Development,Batho Magistrate Office: Service for June 2020,9556.00,
Public Works and Infrastructure,Tsoela Development,Batho Magistrate Office: Service for MAY 2020,9556.00,
Public Works and Infrastructure,Tsogo Sun - Garden Court Eastgate,Accommodation: Quarantine site,1050.00,
Public Works and Infrastructure,Tsogo Sun - Garden Court Eastgate,Accommodation: Quarantine Site,1208.00,
Public Works and Infrastructure,Tsogo Sun - Garden Court Newlands,Accommodation: Quarantine site,1200.00,
Public Works and Infrastructure,Tsogo Sun - Garden Court Newlands Cape Town,Accommodation: Quarantine Site,1380.00,
Public Works and Infrastructure,Tsogo Sun - Stay Easy,Accommodation: Quarantine Site,1093.00,
Public Works and Infrastructure,Tsogo Sun - Stay Easy Eastgate,Accommodation: Quarantine site,950.00,
Public Works and Infrastructure,Tsogo Sun Garden Court Nelson Mandela Boulevard,Accommodation: Quarantine Site,1208.00,
Public Works and Infrastructure,Tsogo Sun Southern Sun Bloemfontein – Free State,Accommodation: Quarantine Site,1380.00,
Public Works and Infrastructure,Tsogo Sun Stay Easy Emnotweni Mpumulanga,Accommodation: Quarantine Site,1093.00,
Public Works and Infrastructure,Tumii,Supply and Maintenance Of Hands Free Foot Operated Hand Sanitizer At The Union Buildings,374718.00,
Public Works and Infrastructure,Tuscany Guest Lodge – Free State,Accommodation: Quarantine Site,850.00,
Public Works and Infrastructure,Unitrade 1032 cc,Durban Regional Office: Supply of PPE,446121.00,
Public Works and Infrastructure,Vascopark Pty Ltd,Cleaning services during COVID-19,106309.00,
Public Works and Infrastructure,Vascopark Pty Ltd,Cleaning services during COVID-19,135302.00,
Public Works and Infrastructure,Vascopark Pty Ltd,Cleaning services during COVID-19,202953.00,
Public Works and Infrastructure,Virus Guard,Decontamination of state property Group 1,18.00,
Public Works and Infrastructure,Vital Life Medical (PTY) Ltd,"Dr. J.L. Dube House, Morningside, Durban: Supply of non contact infrared thermometers and sanitizers",5185.00,
Public Works and Infrastructure,VOLPES,"Bed Linen (Sheet cover, pillow, bed throw,
 matteress)",2430.00,
Public Works and Infrastructure,VT Maphanga,Deep cleaning  Magistrate office: Nkangala Cluster 2,99429.00,
Public Works and Infrastructure,Vukela Security and Cleaning,Cleaning Magistrate courts: Cofimvaba,30000.00,
Public Works and Infrastructure,Vukeza Cleaning and Security,Cleaning Magistrate Courts : Cofimvaba,28800.00,
Public Works and Infrastructure,Vukeza Cleaning and Security,Cleaning Magistrate courts: Elliot,16700.00,
Public Works and Infrastructure,Vukeza Cleaning and Security,Cleaning Magistrate courts: Indwe,16700.00,
Public Works and Infrastructure,Vuyani Goodman Sishuba,Hiring of 2x10 Berth Shower Mobile,196000.00,
Public Works and Infrastructure,Waco Africa,Provision of Showers and Toilets,372278.00,
Public Works and Infrastructure,Walking Tall Trading & Projects,"Provision of cleaning services at Meadowlands, Orlando, Kliptown and Lenasia Magistrate Courts (JHBE19/275)",89859.00,
Public Works and Infrastructure,Walking Tall Trading & Projects,"Provision of cleaning services at Meadowlands, Orlando, Kliptown and Lenasia Magistrate Courts (JHBE19/275)",90807.00,
Public Works and Infrastructure,Walking Tall Trading & Projects,"Provision of cleaning services at Meadowlands, Orlando, Kliptown and Lenasia Magistrate Courts (JHBE20/017)",255269.00,
Public Works and Infrastructure,Walking Tall Trading & Projects,"Provision of cleaning services at Meadowlands, Orlando, Kliptown and Lenasia Magistrate Courts (JHBE20/017)",90807.00,
Public Works and Infrastructure,Walking Tall Trading & Projects,"Provision of cleaning services at Meadowlands,Orlando, Kliptownand Lenasia Magistrate Courts (JHBE20/017)",89859.00,
Public Works and Infrastructure,Wayinnivy Trading and Projects,Deep Cleaning at Nipiliar House,219523.00,
Public Works and Infrastructure,Whitehouse,Emegency Procurement Deligation with 1 Qoutes obtained.,440.00,
Public Works and Infrastructure,Xolazee PTY LTD,Deep cleaning  Magistrate office: Nkangala Cluster 1,114734.00,
Public Works and Infrastructure,Yashar Hands Services,Cleaning Magistrate courts: Elliotdale,21797.00,
Public Works and Infrastructure,Yashar Hands Services,Cleaning Magistrate courts: Elliotdale,18097.00,
Public Works and Infrastructure,Yashar Hands Services,Cleaning Magistrate courts: Elliotdale,17063.00,
Public Works and Infrastructure,Yashar Hands Services,Cleaning Magistrate courts: Idutywa,17464.00,
Public Works and Infrastructure,Yashar Hands Services,Cleaning Magistrate courts: Mqanduli,20717.00,
Public Works and Infrastructure,Yashar Hands Services,Cleaning Magistrate courts: Mqanduli,15237.00,
Public Works and Infrastructure,Yashar Hands Services,Cleaning Magistrate courts: Mqanduli,16373.00,
Public Works and Infrastructure,Yashar Hands Services,Cleaning Magistrate courts: Ngqeleni,17178.00,
Public Works and Infrastructure,Yoli Multi Solution,Bedford Magistrate cleaning services,6931.00,
Public Works and Infrastructure,Yoli Multi Solution,Emergency Procurement Delegation: One Quotation,11818.00,
Public Works and Infrastructure,YottaZetta,Video conference and virtual meeting rooms,2932500.00,
Public Works and Infrastructure,Zan Central,Cleaning Services Klerksdorp,98095.00,
Public Works and Infrastructure,Zedek Trading 388,Cleaning Magistrate courts: Mthatha Magistrate,55032.00,
Public Works and Infrastructure,Zedek Trading 388,Cleaning Magistrate courts: Mthatha Magistrate,37168.00,
Public Works and Infrastructure,Zulu Royal Civil Construction,Justice Various Magistrate Courts: Midlands District Municipality: Decontamination of facilities,1800000.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Cleaning magistrate Court: Dordrecht,63675.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Cleaning Magistrate courts: Idutywa,16161.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Cleaning Magistrate courts: Willowvale,20601.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Cleaning Magistrate courts: Willowvale,15431.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Decontamination / Deep Cleaning & Disinfection,63949.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Decontamination / Deep Cleaning & Disinfection,60314.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Decontamination / Deep Cleaning & Disinfection,60414.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Decontamination / Deep Cleaning & Disinfection,72834.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Decontamination / Deep Cleaning & Disinfection,99599.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Decontamination / Deep Cleaning & Disinfection,52314.00,
Public Works and Infrastructure,Zwelibuzwe Landscapre and Maintenance Services,Decontamination / Deep Cleaning & Disinfection,58102.00,
