buyer_name,implementation_location_province,Cluster,implementation_location_other,supplier_name,company_registration_number,RFQ,Contract,hea_Number,PO Printed Date,Fund Name,Project Name,Sub Category Item,items_description,items_quantity,QTY Received,implementation_status,order_amount_zar,bbbee_status,Contract Amount,Invoice Receipt Date,invoice_date,PAID WITHIN 30 DAYS
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,ALEXANDRIA,LC ALEXANDRIA (EC),MAAA0124921 FIZNEF TRADING 10,2011/050820/23,YES,,POO0000401,2020-07-20T11:48:06.277,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,8254.99,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,LIBODE,LC LIBODE,MAAA0127803 AMINA CHEM,2010/018248/07,YES,,POO00004BF,2020-07-27T10:25:40.377,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,1,0,Awaiting Delivery,7250.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,CLEANING DETERGENTS,10,0,Awaiting Delivery,94000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISH CLOTH,100,0,Awaiting Delivery,94000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,2,0,Awaiting Delivery,94000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,CLEANING DETERGENTS,20,0,Awaiting Delivery,94000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,130,0,Awaiting Delivery,94000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,HAND GLOVES,50,0,Awaiting Delivery,94000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MORETELE,LC MORETELE,MAAA0145730 KOMANE OFFICE PROJECTS,2006/078822/23,YES,,POO00003ST,2020-07-15T17:01:39.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE PAPER/ PLASTIC ITEMS,"PAPER PLATES,SERVIETTES, FOAM CUPS, SPRAY BOTTLES, ETC",50,0,Awaiting Delivery,94000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,MACLEAR,LC MACLEAR,MAAA0153686 RONALD GOPICHUND,6.30925E+12,YES,,POO00004G6,2020-07-29T11:40:34.987,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,4,0,Awaiting Delivery,1743.40,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0158098 CRJ HOLDINGS,2016/134858/07,YES,,POO00003VD,7/16/2020 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Cancelled,12319.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0163474 RED ALERT,1981/010813/07,YES,,POO000041C,2020-07-20T14:44:48.570,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,1955.00,Non-compliant contributor,,,,0
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0163474 RED ALERT,1981/010813/07,YES,,POO000037W,2020-07-06T16:06:25.613,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,4255.00,Non-compliant contributor,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,DITSOBOTLA,LC DITSOBOTLA,MAAA0172691 BAIPIDI AND TAU INVESTMENTS,2015/008817/07,YES,,POO00003SR,2020-07-16T08:23:18.977,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,10,0,Awaiting Delivery,4300.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,DITSOBOTLA,LC DITSOBOTLA,MAAA0172691 BAIPIDI AND TAU INVESTMENTS,2015/008817/07,YES,,POO00003SR,2020-07-16T08:23:18.977,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FREE STANDING PERSPEX DIVIDER,1,0,Awaiting Delivery,4300.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,DITSOBOTLA,LC DITSOBOTLA,MAAA0172691 BAIPIDI AND TAU INVESTMENTS,2015/008817/07,YES,,POO00003SR,2020-07-16T08:23:18.977,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,1,0,Awaiting Delivery,4300.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,KLERKSDORP,LC STILFONTEIN,MAAA0177413 ARISTOCRAFT TRADING,2005/133440/23,YES,,POO00004CC,2020-07-24T15:03:35.153,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,CLEANING DETERGENTS,3,0,Awaiting Delivery,4776.00,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,KLERKSDORP,LC STILFONTEIN,MAAA0177413 ARISTOCRAFT TRADING,2005/133440/23,YES,,POO00004CC,2020-07-24T15:03:35.153,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,3,0,Awaiting Delivery,4776.00,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,UPINGTON,LC UPINGTON,MAAA0185097 R AND B SUPPLY AND GENERAL SERVICES,2016/231512/07,YES,,POO00004LV,2020-07-31T09:42:18.890,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITISER,3,0,Awaiting Delivery,10500.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,UPINGTON,LC UPINGTON,MAAA0185097 R AND B SUPPLY AND GENERAL SERVICES,2016/231512/07,YES,,POO00004LV,2020-07-31T09:42:18.890,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,400,0,Awaiting Delivery,10500.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,UPINGTON,LC UPINGTON,MAAA0185097 R AND B SUPPLY AND GENERAL SERVICES,2016/231512/07,YES,,POO00004LV,2020-07-31T09:42:18.890,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,HAND GLOVES,500,0,Awaiting Delivery,10500.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,UPINGTON,LC UPINGTON,MAAA0185097 R AND B SUPPLY AND GENERAL SERVICES,2016/231512/07,YES,,POO00004LV,2020-07-31T09:42:18.890,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,1,0,Awaiting Delivery,10500.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,KIMBERLEY,LC KIMBERLEY,MAAA0203680 POLELO IT SOLUTIONS AND GRAPHICS,2011/038726/23,YES,,POO000040N,2020-07-20T12:04:03.410,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,4,0,Awaiting Delivery,3600.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,STRAND,LC STRAND,MAAA0231025 MYENDEKI TRADING ENTERPRISE,2011/105009/23,YES,,POO00004GD,2020-07-30T13:34:09.980,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,81000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,VREDENDAL,LC VREDENDAL,MAAA0231025 MYENDEKI TRADING ENTERPRISE,2011/105009/23,YES,,POO000048D,2020-07-23T13:58:18.573,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,36000.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0311284 VITAL HYGIENE SOLUTIONS,2005/015071/23,YES,,POO00004N8,2020-07-31T13:43:00.333,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,5914.96,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0311284 VITAL HYGIENE SOLUTIONS,2005/015071/23,YES,,POO00003B8,07/07/2020 00:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Cancelled,2071.56,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,BARKLY-WEST,LC GALESHEWE,MAAA0356806 MOTEC PROJECTS AND SUPPLIES,2014/175416/07,YES,,POO00004BG,2020-07-24T13:49:01.597,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE PAPER/ PLASTIC ITEMS,"PAPER PLATES,SERVIETTES, FOAM CUPS, SPRAY BOTTLES, ETC",10,0,Awaiting Delivery,4800.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,BARKLY-WEST,LC GALESHEWE,MAAA0356806 MOTEC PROJECTS AND SUPPLIES,2014/175416/07,YES,,POO00004BG,2020-07-24T13:49:01.597,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,CLEANING MATERIALS,15,0,Awaiting Delivery,4800.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO00004P2,2020-07-31T16:14:38.147,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,12160.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO00004NZ,2020-07-31T16:14:57.053,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,18522.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004N6,2020-07-31T13:30:23.303,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,6993.90,Level 2,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004N0,2020-07-31T13:26:53.810,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,3450.06,Level 2,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00004LJ,2020-07-30T16:15:51.573,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,6617.00,Level 2,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,BELLVILLE,LC BELLVILLE,MAAA0419654 CORPCHEM,2016/363293/07,YES,,POO00004MS,2020-07-31T13:46:40.537,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,14,0,Awaiting Delivery,8130.50,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,BRITSTOWN,LC BRITSTOWN,MAAA0423721 VVUKOLWAM ENTERPRISE,2017/075749/07,YES,,POO000042X,2020-07-21T12:45:35.843,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,7,0,Awaiting Delivery,3270.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,BRITSTOWN,LC BRITSTOWN,MAAA0423721 VVUKOLWAM ENTERPRISE,2017/075749/07,YES,,POO000042X,2020-07-21T12:45:35.843,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,15,0,Awaiting Delivery,3270.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,BRITSTOWN,LC BRITSTOWN,MAAA0423721 VVUKOLWAM ENTERPRISE,2017/075749/07,YES,,POO000042X,2020-07-21T12:45:35.843,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,200,0,Awaiting Delivery,3270.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,ATLANTIS,LC ATLANTIS,MAAA0432493 CSN OFFICE SUPPLIES,2016/457855/07,YES,,POO0000432,2020-07-22T10:27:47.967,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,HAND GLOVES,30,0,Awaiting Delivery,5893.65,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0452038 LOJ ENTERPRISES,2016/403826/07,YES,,POO00003V1,2020-07-16T11:45:38.693,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,2,0,Awaiting Delivery,18950.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0452038 LOJ ENTERPRISES,2016/403826/07,YES,,POO00003V1,2020-07-16T11:45:38.693,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,5,0,Awaiting Delivery,18950.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0452038 LOJ ENTERPRISES,2016/403826/07,YES,,POO00003V1,2020-07-16T11:45:38.693,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND LIQUID SOAP,5,5,Awaiting Delivery,18950.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0452038 LOJ ENTERPRISES,2016/403826/07,YES,,POO00003V1,2020-07-16T11:45:38.693,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,4,0,Awaiting Delivery,18950.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0452038 LOJ ENTERPRISES,2016/403826/07,YES,,POO00003V1,2020-07-16T11:45:38.693,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,DISPENSER - SOAP/TOWEL PAPER/TOILET PAPER HOLDERS,10,4,Awaiting Delivery,18950.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0452038 LOJ ENTERPRISES,2016/403826/07,YES,,POO00003V1,2020-07-16T11:45:38.693,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITISER,10,5,Awaiting Delivery,18950.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0452038 LOJ ENTERPRISES,2016/403826/07,YES,,POO00003V1,2020-07-16T11:45:38.693,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE PAPER/ PLASTIC ITEMS,"PAPER PLATES,SERVIETTES, FOAM CUPS, SPRAY BOTTLES, ETC",100,100,Awaiting Delivery,18950.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,MAPULANENG,LC MAPULANENG (MP),MAAA0452690 MIKEABBER TRADING AND INVESTMENT,2015/400489/07,YES,,POO000044M,2020-07-22T15:25:25.840,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FREE STANDING PERSPEX DIVIDER,23,0,Awaiting Delivery,23920.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,KNYSNA,LC KNYSNA,MAAA0461862 APCOT TRADING,2017/143621/07,YES,,POO00004KB,2020-07-31T17:08:54.480,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,12250.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,HERMANUS,LC HERMANUS,MAAA0471351 ORION RISK SOLUTIONS,2013/057673/07,YES,,POO00004FJ,2020-07-28T14:03:09.850,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE FURNITURE<R5000 NON ASSET,DESK/ COUNTER SCREENS,1,1,Awaiting Invoice,59265.25,Non-compliant contributor,,,,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,BELLVILLE,LC BELLVILLE,MAAA0582311 RIBBENS OFFICE SOLUTIONS,2013/228079/07,YES,,POO00004M6,2020-07-31T11:01:49.490,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,500,0,Awaiting Delivery,19980.10,Level 2,,,,0
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,BARBERTON,LC BARBERTON,MAAA0603891 VILLA ENLIGHTED PROJECTS,2017/228073/07,YES,,POO000036H,2020-07-06T13:41:14.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONTR:MNT&REP OTH MACHINRY&EQUIP,MAINTENANCE AND REPAIRS OF OFFICE EQUIPMENT.,5,0,Completed,10550.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,NSIKAZI,LC KOMATIPOORT,MAAA0626065 HILLAWORKS,2018/314808/07,YES,,POO000043N,2020-07-23T08:58:36.167,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FREE STANDING PERSPEX DIVIDER,6,0,Awaiting Delivery,10750.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0635070 ORIS HYGIENE AND CHEMICAL SOLUTIONS,2018/049859/07,YES,,POO0000386,2020-07-07T10:40:12.193,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Awaiting Delivery,39263.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,UPINGTON,LC UPINGTON,MAAA0721730 JH PEST CONTROL,2018/599075/07,YES,,POO000049N,2020-07-24T13:16:26.843,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,10650.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,PRIESKA,LC PRIESKA,MAAA0824119 AAA CONSUMABLES,2019/392410/07,YES,,POO0000434,2020-07-21T14:20:29.877,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,CLEANING MATERIALS,2,0,Awaiting Delivery,1800.00,Level 4,,,,0
Department of Justice and Constitutional Development (DoJ&CD),GAUTENG,JOHANNESBURG,LC JOHANNESBURG,MAAA0832861 MO JACKY DISTRIBUTORS,2019/444682/07,YES,,POO000046M,2020-07-23T09:13:28.493,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 NON ASSET,ALUMINIUM STAND AJUSTABLE,50,0,Awaiting Delivery,57930.00,Level 1,,,,0
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,UITENHAGE,LC UITENHAGE,MAAA0906344 SPORTS ACCESS,1993/015378/23,YES,,POO00004LS,01/01/1900 00:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,6,0,"Approved, to be printed",1840.00,Level 1,,,,0
