buyer_name,No.,implementation_location_other,supplier_name,items_description,Unit Pice,cost_per_unit_zar,items_quantity,order_amount_zar,"Indicate: Normal process or
Deviation",Order date,invoice_date,company_registration_number
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",190,Western Cape,"South End Environmental
Services","Re-Decontontamination of Claimwilliam District office 03
August 2020","R                       3 809,26",3809.26,1,3809.26,Normal qoutation  Process,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",191,Western Cape,"South End Environmental
Services","DEEDS AND SG OFFICES RHODES AVENUE C block
including security Area 01 August","R                       1 311,00",1311.00,1,1311.00,Deviation,Sundry payment,,2012/131438/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",192,Western Cape,Compass Waste Medical,"50L Medical Waste Boxes( supply;delivery and Collection
for 3 months in all DRDRL offices)","R                     22 595,16",22595.16,1,22595.16,Normal qoutation  Process,Sundry payment,,2003/002007/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",193,Limpopo,Bravosat,"Procurement of Sanitisers, Dispensers and wipes for
Waterberg District","R2 500 p/dispense
R3 200 p/bucket wipe
R550 p/1 lite sanitise refill",,"3 Dispensers
12 wipes backet
21 (1liters) sanitiser refill",57450.00,Variation ( Expansion of scope),20/03/2020,2020-03-20,2011/078053/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",194,Limpopo,Suprahealth care,"Procurement of Gloves and Mask for Limpopo PSSC and
Districts offices","R862.50 ( B/50 mask)
R170.14 (B/100 small
gloves)
R170.14 (B/100 medium
gloves
R166.31 (B/100 large
gloves)",,"5000 Masks
1000 small glove
2500 medium
gloves
1500 large gloves",94699.00,Normal ( transversal contract),16/04/2020,2020-04-16,2007/027848/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",195,Limpopo,Kgoalaza,"Procurement of Sanitisers for Limpopo PSSC and
Sekhukhune District",6 250 p/25 lites,6250.00,40 X 25litres,250000.00,Normal,26/03/2020,2020-03-26,2014/140549/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",196,Limpopo,"Lekhumo M Group and
Company",Procurement of empty adjustable spray bottles,61.98 p/bottle,61.98,350 empty bottles,21693.00,Normal,13/05/2020,2020-05-13,2019/094978/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",197,Limpopo,Fabs Projects,"Procurement of Disinfection Service for all Polokwane
offices","R                   126 000,00",126000.00,1,126000.00,Variation ( Expansion of scope),13/05/2020,2020-05-13,2013/139880/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",198,Limpopo,Bravosat 327,"Procurement of Disinfection Service for Waterberg
District office","64 488,00",64488.00,1,52140.00,Variation ( Expansion of scope),13/05/2020,2020-05-13,2011/078053/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",199,Limpopo,Fabs Projects,"Procurement of Disinfection Service for Sekhukhune
district office","R                     46 000,00",46000.00,1,46000.00,Normal,22/05/2020,2020-05-22,2013/139880/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",200,Limpopo,Fabs Projects,"Procurement of Disinfection Service to former DAFF
offices at 68 Hans Van Rensburg, Polokwane","R                     43 000,00",43000.00,1,43000.00,Variation ( Expansion of scope),22/05/2020,2020-05-22,2013/139880/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",201,Limpopo,Fabs Projects,"Procurement of Disposal boxes for period of three
months for all Polokwane office","R14 950 (weekly
collection)",14950.00,3,44850.00,Variation ( Expansion of scope),15/06/2020,2020-06-15,2013/139880/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",202,Limpopo,Bravosat 327,"Procurement of Disposal boxes for period of three
months for Waterberg district office","R4400.00  ( weekly
collection)",4400.00,3,13200.00,Variation ( Expansion of scope),06/08/2020,2020-08-06,2011/078053/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",203,Limpopo,Bravosat 327,"Procurement of Disposal boxes for period of three
months for Sekhukhune district office","6700.00 (weekly
collections)",6700.00,3,20100.00,Normal,17/06/2020,2020-06-17,2011/078053/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",204,Limpopo,Bravosat 327,"Procurement of Disinfection Service for former DAFF
NATIONAL AGRI LAND AND ENVIROMENT
BOREDEPORT (NATIONAL AGRICULTURE
MODIMOLLE COMPLEX","R 59 325,00",59325.00,1,59325.00,Normal,18/06/2020,2020-06-18,2011/078053/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",205,Limpopo,Fabs Projects,"Procurement of Disinfection Service for former DAFF
Limpopo Borderposts (Beitbridge and Groblersbridge)","R 35 500,00",35500.00,1,35500.00,Normal,17/06/2020,2020-06-17,2013/139880/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",206,Limpopo,Fabs Projects,"Procurement of Disinfection Service Polokwane offices (
ABSA Forum, and Koos Smit)- following COVID 19
reported case","R 97 000,00",97000.00,1,97000.00,Variation ( Expansion of scope),16/07/2020,2020-07-16,2013/139880/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",207,Limpopo,Fabs Projects,"Procurement of Disinfection Service for Koos Smit and
Deeds office- following COVID 19 reported case","R 63 000,00",63000.00,1,63000.00,Variation ( Expansion of scope),06/08/2020,2020-08-06,2013/139880/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",208,Limpopo,Fabs Projects,"Procurement of Disinfection Service for Sekhukhune
District- following COVID 19 reported case","R 33 000,00",33000.00,1,33000.00,Normal,28/07/2020,2020-07-28,2013/139880/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",209,Limpopo,Bravosat 327,"Procurement of Disinfection Service former Daff office
Old Mutual Building- following COVID 19 reported case","R 35 999,00",35999.00,1,35999.00,Normal,05/08/2020,2020-08-05,2011/078053/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",210,Mpumalanga,"M-Jnr and Olwethu Consulting
Pty Ltd",Decontamination MPSCC,"R                     42 150,30",42150.30,1,42150.30,"Deviation extension of scope of
contract",30/04/2020,2020-04-30,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",211,Mpumalanga,Delvex 743,Decontamination Nkangala District Office,"R                     13 915,00",13915.00,1,13915.00,Variation ( Expansion of scope),30/04/2020,2020-04-30,2006/156989/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",212,Mpumalanga,Delvex 743,Decontamination Ehlanzeni District Office,"R                     20 223,80",20223.80,1,20223.80,Variation ( Expansion of scope),30/04/2020,2020-04-30,2006/156989/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",213,Mpumalanga,Rentokil,Decontamination Gert Sibande District Office,"R                       6 302,00",6302.00,1,6302.00,Normal process,05/05/2020,2020-05-05,1967/013286/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",214,Mpumalanga,"Shintomane General
Suppliers",Decontamination Restitution and Lodgement Office,"R                     43 000,00",43000.00,1,43000.00,Variation ( Expansion of scope),30/04/2020,2020-04-30,2013/120646/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",215,Mpumalanga,OKS Investment 2009,Decontamination Surveyor General Office,"R                     27 600,00",27600.00,1,27600.00,Variation ( Expansion of scope),05/05/2020,2020-05-05,2009/221179/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",216,Mpumalanga,"M-Jnr and Olwethu Consulting
Pty Ltd","Health care Risk Boxes Restitution and Lodgement
Office","R                       1 220,00",1220.00,12,14640.00,Variation ( Expansion of scope),12/05/2020,2020-05-12,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",217,Mpumalanga,"M-Jnr and Olwethu Consulting
Pty Ltd",Health care Risk Boxes MPSCC and district offices,"R                          366,00",366.00,12,4392.00,Variation ( Expansion of scope),12/05/2020,2020-05-12,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",218,Mpumalanga,"M-Jnr and Olwethu Consulting
Pty Ltd",Health care Risk Boxes Surveyor General Office,"R                       3 782,00",3782.00,12,45384.00,Variation ( Expansion of scope),10/05/2020,2020-05-10,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",219,Mpumalanga,OKS Investment 2009,Decontamination Surveyor General Office,"$                     25 300,00",25300.00,1,25300.00,Variation ( Expansion of scope),02/07/2020,2020-07-02,2009/221179/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",220,Mpumalanga,Bravosat 237,Decontamination MPSCC,"$                     56 874,45",56874.45,1,56874.45,Normal process,10/07/2020,2020-07-10,2011/078053/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",221,Mpumalanga,Kamatshika Services,Decontamination Nkangala District Office,"$                     26 232,50",26232.50,1,26232.50,Normal process,14/07/2020,2020-07-14,2006/114060/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",222,Mpumalanga,Nozihle Cleaning Services,Decontamination MPSCC,"$                     36 790,80",36790.80,1,36790.80,Normal process,30/07/2020,2020-07-30,2002/041023/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",223,Mpumalanga,Kamatshika Services,Decontamination Gert Sibande District Office- Ermelo,"$                       6 385,80",6385.80,1,6385.80,Normal process,31/07/2020,2020-07-31,2006/114060/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",224,"Agriculture,
Gauteng","H & T Hydraulics and Mining
Supplies",Mask - Surgical,"R                            17,25",17.25,200 boxes of 50,172500.00,Deviation,,,2017/516593/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",225,"Agriculture,
Gauteng",Biological Pharmaceuticals,Mask - Surgical,"R                            26,65",26.65,666 boxes of 50,887544.90,Deviation,,,2013/067392/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",226,"Agriculture,
Gauteng",Century Project Management,Mask - Surgical,"R                            28,52",28.52,20000,579025.00,Deviation,,,2016/245221/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",227,"Agriculture,
Gauteng",Century Project Management,Mask - Surgical,"R                            28,52",28.52,20000,579025.00,Deviation,,,2016/245221/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",228,"Agriculture,
Gauteng","H & T Hydraulics and Mining
Supplies",Gloves - Surgical & Examination - Natural Rubber Latex,"R                            94,30",94.30,150 boxes of 100,14145.00,Deviation,,,2017/516593/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",229,"Agriculture,
Gauteng","H & T Hydraulics and Mining
Supplies",Goggles / Face-Shield / Visor,"R                            10,99",10.99,150,1639.50,Deviation,,,2017/516593/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",230,"Agriculture,
Gauteng",ARC Technology,Goggles / Face-Shield / Visor,"R                            28,00",28.00,500,14000.00,Deviation,,,2017/162066/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",231,"Agriculture,
Gauteng",Triple Power Supplies,Sanitisers,"R                          520,00",520.00,200,103999.00,Deviation,,,2014/113663/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",232,"Agriculture,
Gauteng","H & T Hydraulics and Mining
Supplies",Wiper Roll,"R                          322,00",322.00,200,64400.00,Deviation,,,2017/516593/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",233,"Agriculture,
Gauteng","H & T Hydraulics and Mining
Supplies",Soap Dispenser Lockable,"R                          402,50",402.50,50,20125.00,Deviation,,,2017/516593/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",234,"Agriculture,
Gauteng","H & T Hydraulics and Mining
Supplies",Hand Soap 5 litres,"R                            97,75",97.75,150,14662.50,Deviation,,,2017/516593/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",235,"Agriculture,
Gauteng",ARC Technology,Protective Cover Bodysuits,"R                          175,00",175.00,50,8750.00,RT 296,,,2017/162066/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",236,"Agriculture,
Gauteng",ARC Technology,Leusable Tychem CAT 3 for medical use,"R                          612,00",612.00,35,21420.00,RT 296,,,2017/162066/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",237,"Agriculture,
Gauteng",Komane Office Projects,Infrared thermometers A66,"R                       2 800,00",2800.00,20,56000.00,Deviation,,,2006/078822/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",238,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Sefala Building (11/05/2020),"R                              8,05",8.05,12141,112395.31,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",239,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Sefala Building (04/07/2020),"R                              8,05",8.05,1493,13821.45,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",240,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Harvest House (10/05/2020),"R                              8,05",8.05,13602,125920.52,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",241,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Harvest House (2905/2020),"R                              8,05",8.05,5267,48754.63,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",242,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Hamilton 140 (1105/2020),"R                              8,05",8.05,1858,17200.44,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",243,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Delpen (1205/2020),"R                              8,05",8.05,5550,51379.13,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",244,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Agriculture Place (08/05/2020),"R                              8,05",8.05,35000,324012.50,,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",245,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Agriculture Place (30/05/2020),"R                              8,05",8.05,3674,34007.43,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",246,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Agriculture Place (13/07/2020),"R                              8,05",8.05,5 207.04,48204.17,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",247,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Sefala Building (24/07/2020),"R                              8,05",8.05,1064,9852.29,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",248,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Roodeplaat(13/05/2020),"R                              8,05",8.05,3712,34363.84,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",249,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Roodeplaat (07/07/2020),"R                              8,05",8.05,3712,34363.84,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",250,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Silverton (18/07/2020),"R                              8,05",8.05,834,7719.60,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",251,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Silverton (13/05/2020),"R                              8,05",8.05,504,4665.78,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",252,"Agriculture,
Gauteng",Mamulo Trading and Project,"Decontamination of Kemptonpark Quarantine
(14/05/2020 and 27/07/2020 )","R                              8,05",8.05,1785,16524.64,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",253,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of Sedupe K9 Dog Unit (14/05/2020),"R                              8,05",8.05,2619,24245.39,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",254,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamnation of Trustbank (14/05/2020),"R                              8,05",8.05,504,4665.78,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",255,"Agriculture,
Gauteng",Mamulo Trading and Project,Decontamination of ORTI Cargo(11/07/2020),"R                              8,05",8.05,888,8220.66,Deviation,,,2009/145769/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",256,"Agriculture,
Gauteng",Halsted and CO,500ml spray bottel,"R                            45,94",45.94,400,18377.00,Normal quotation process followed,29/05/2020,2020-05-29,1952/001225/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",257,"Agriculture,
Gauteng","Imonti Chemicals and
Hygiene Sys",5 liter hand santitizer,"R                          339,25",339.25,50,16962.50,Normal quotation process followed,05/06/2020,2020-06-05,1994/033668/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",258,"Agriculture,
Gauteng","Imonti Chemicals and
Hygiene Sys",Top up dispencers  5 litres,"R                          493,35",493.35,50,24667.50,Normal quotation process followed,05/06/2020,2020-06-05,1994/033668/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",259,"Agriculture,
Gauteng",BKB,F10 disinfection  1 litres,"R                          276,00",276.00,2,552.00,Normal quotation process followed,26/05/2020,2020-05-26,1998/012435/06
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",260,"Agriculture,
Gauteng",OVK,F10 disinfection  5 litres,"R                       1 179,99",1179.99,1,1179.99,Normal quotation process followed,17/03/2020,2020-03-17,1999/004069/06
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",261,"Agriculture,
Gauteng",MJA Brothers Trading,Material face mask,"R                            42,25",42.25,710,29997.50,Normal quotation process followed,05/06/2020,2020-06-05,2018/235988/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",262,"Agriculture,
Gauteng",Ons Handelsuis,Face shields,"R                            30,00",30.00,50,1500.00,Normal quotation process followed,29/05/2020,2020-05-29,2017/181217/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",263,"Agriculture,
Gauteng",The Specialists Franchise,Deep cleaning and disinfection,"R                   113 653,00",113653.00,1,113653.00,Normal quotation process followed,04/06/2020,2020-06-04,2015/194656/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",264,ALHA,Black Dot,Surgical face mask,"R                            28,75",28.75,400000,11500000.00,Tender,16-Apr-20,2020-04-16,2012/048073/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",265,ALHA,Healthcare Waste services,DISINFECTANT BAR SOAP,"116,495",116495.00,400000,4659800.00,Tender,16-Apr-20,2020-04-16,2017/386828/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",266,ALHA,"Imvukuzane Trading PTY
LTD",Cloth mask,"R                            18,50",18.50,200000,3700000.00,Tender,16-Apr-20,2020-04-16,2015/136323/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",267,ALHA,Governemnet Printing,Vouchers Covid-19 Farmer Relief Fund,"R                              5,45",5.45,25000,136250.00,Normal Process,,,
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",268,"RESTITUTION
NATIONAL
OFFICE",Yabela Consulting & Trading,SURGICAL GLOVES,2.52,2.52,5 boxes (100),1260.00,Quotation,24/03/2020,2020-03-24,2007/027750/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",269,"RESTITUTION
NATIONAL
OFFICE",Yabela Consulting & Trading,Wet Wipes,"R                        422,500",422.50,20 tubs,8450.00,Quotation,24/03/2020,2020-03-24,2007/027750/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",270,"RESTITUTION
NATIONAL
OFFICE",Yabela Consulting & Trading,Surgical Masks,"R                            23,00",23.00,5 boxes (100),11500.00,Quotation,24/03/2020,2020-03-24,2007/027750/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",271,"RESTITUTION
NATIONAL
OFFICE",Yabela Consulting & Trading,Hand Sanitezer,"R                            77,00",77.00,500 bottles x 500ml,38500.00,Quotation,24/03/2020,2020-03-24,2007/027750/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",272,"RESTITUTION
NATIONAL
OFFICE",Yabela Consulting & Trading,Delivery Cost; PPE's,"R                     1 000,000",1000.00,1,1000.00,Quotation,24/03/2020,2020-03-24,2007/027750/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",273,"RESTITUTION
NATIONAL
OFFICE",Zidrocom (Pty) Ltd,Examination Gloves,"R                        175,600",175.60,100,17560.00,Quotation,20/05/2020,2020-05-20,2019/564376/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",274,"RESTITUTION
NATIONAL
OFFICE",Zidrocom (Pty) Ltd,Fabric Masks,"R                          33,300",33.30,2000,66600.00,Quotation,20/05/2020,2020-05-20,2019/564376/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",275,"RESTITUTION
NATIONAL
OFFICE",Zidrocom (Pty) Ltd,Hand Sanitizer,"R                          73,500",73.50,2000,147000.00,Quotation,20/05/2020,2020-05-20,2019/564376/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",276,"RESTITUTION
NATIONAL
OFFICE",Zidrocom (Pty) Ltd,Digital Body Theremometer,"R                     1 960,000",1960.00,40,78400.00,Quotation,20/05/2020,2020-05-20,2019/564376/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",277,"RESTITUTION
NATIONAL
OFFICE",Zidrocom (Pty) Ltd,Branding of Masks,"R                          12,730",12.73,2000,25460.00,Quotation,20/05/2020,2020-05-20,2019/564376/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",278,"RESTITUTION
NATIONAL
OFFICE",Zidrocom (Pty) Ltd,Branding od Digiatl Thermometer,"R                          10,000",10.00,40,400.00,Quotation,20/05/2020,2020-05-20,2019/564376/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",279,"RESTITUTION
NATIONAL
OFFICE",Lifhasi group (Pty) Ltd,Sanitizer Wipes  Buckets,"R                        100,000",100.00,480,48000.00,Quotation,10/07/2020,2020-07-10,2013/187509/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",280,"RESTITUTION
NATIONAL
OFFICE",I create  Technologies,Washable Masks,"R                          29,000",29.00,3000,87000.00,Quotation,22/07/2020,2020-07-22,2013/043172/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",281,"RESTITUTION
NATIONAL
OFFICE",I create  Technologies,Hands Free Sanitizer Stand,"R                        900,000",900.00,26,23400.00,Quotation,22/07/2020,2020-07-22,2013/043172/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",282,"RESTITUTION
NATIONAL
OFFICE",I create  Technologies,Sanitizing  Alcohol wipes,"R                          49,000",49.00,2000,98000.00,Quotation,22/07/2020,2020-07-22,2013/043172/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",283,"RESTITUTION
NATIONAL
OFFICE",I create  Technologies,Theremometer Batteries,"R                          89,000",89.00,200,1780.00,Quotation,22/07/2020,2020-07-22,2013/043172/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",284,"RESTITUTION
NATIONAL
OFFICE",I create  Technologies,Pedal Push Waste Bin  Black 20L,"R                        850,000",850.00,50,42500.00,Quotation,22/07/2020,2020-07-22,2013/043172/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",285,"RESTITUTION
NATIONAL
OFFICE",I create  Technologies,20L black disposable bag liners,"R                          90,000",90.00,100,42500.00,Quotation,22/07/2020,2020-07-22,2013/043172/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",286,"RESTITUTION
NATIONAL
OFFICE",I create  Technologies,First Aid Kit,"R                        350,000",350.00,30,10500.00,Quotation,22/07/2020,2020-07-22,2013/043172/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",287,"RESTITUTION
NATIONAL
OFFICE",BAAA Eneterprise,"Surgical gloves
Mobile units surgical masks
touch free wall dispenser
sanitizer refill 1L
Baket wipes
Digital Body Theremometer
AAA Batteries","2,00
5,00
1300,00
79,00
0,11
1200,00
26,00",,"5000
5000
6
60
1200
6
18",73328.00,Quotation,27/07/2020,2020-07-27,2014/259898/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",288,"RESTITUTION
NATIONAL
OFFICE",Zidrocom (Pty)Ltd),"Branded Cloth Musk
hand sanitizer
gloves
sanitizer wipes","66,52
7,25
1,78
1,46",,"900
900
2000
45000",192230.20,Quotation,27/07/2020,2020-07-27,2014/259898/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",289,"RESTITUTION
NATIONAL
OFFICE","Nyeleti General Supply
Company","Branded Cloth Musk
hand sanitizer
alcohol wipes
hand cream
bag back branded","45,00
60,00
1400,00
60,00
45,00",,"2000
1000
50000
1000
1000",325750.00,Quotation,06/08/2020,2020-08-06,2018/270166/07
