buyer_name,implementation_location_province,implementation_locatin_other,items_description,supplier_name,company_registration_number,procurement_method,order_number,ORDER DATE,invoice_date,UNIT OF MEASURE,items_quantity,cost_per_unit_zar,order_amount_zar
Department of Correctional Services (DCS),Free State,UPINGTON,Biocide/Bleach/Surface Sanitizer,TARA,2019/237077/07,NT SUPPLIER,AH-603273,3/23/2020,2020-03-23,5L,200,125.00,25000.00
Department of Correctional Services (DCS),Free State,UPINGTON,Brush surgical sterile,LOGAN MEDICAL SUPPLIERS,2012/056508/07,RT32,AH-603282,2020.04.07,2020-04-07,each,"1,000",3.01,3010.00
Department of Correctional Services (DCS),Free State,UPINGTON,Disposable aprons,CENTRAL MED,1995/003785/07,RT32,"AH603271/ Up-
6840",3/23/2020,2020-03-23,each,"3,000",0.32,960.00
Department of Correctional Services (DCS),Free State,UPINGTON,Disposable Gown,Promed Technologies,"2014/162486/07
2012/056508/07",RT 32,AH-6032582,3/25/2020,2020-03-25,each,100,59.95,5995.00
Department of Correctional Services (DCS),Free State,UPINGTON,Disposable Gown,"LOGAN MEDICAL SUPPLIERS &
PROMED TECHNOLOGIES",,RT32,AH-6032582,2020.04.07,2020-04-07,Boxes of 10,200,20.00,
Department of Correctional Services (DCS),Free State,UPINGTON,Disposable Draw Sheet,Promed Technologies,2014/162486/07,RTCOVID-19,"AH-603283/ Up-
6880",04/09/2020,2020-09-04,each,"1,200",2.18,2616.00
Department of Correctional Services (DCS),Free State,UPINGTON,Disposable Linen,MEDDREG TECHNOLOGY,"2003/014869/23
2014/162486/07",RT32,AH-603283,2020.04.08,2020-04-08,Boxes of 10,"1,000",1.04,1040.00
Department of Correctional Services (DCS),Free State,UPINGTON,Disposble Scrub Sets,Promed Technologies,"2014/162486/07
2012/056508/07",RTCOVID-19,AH-603282,2020.04.07,2020-04-07,50,R                15.05,752.50,
Department of Correctional Services (DCS),Free State,UPINGTON,Full face shield,UNITRADE 1032 CC,1998/002665/23,RTCOVID-19,"AH-603282/UP-
6871",2020.03.26,2020-03-26,Boxes of 10,100,18.00,1800.00
Department of Correctional Services (DCS),Free State,UPINGTON,Linen Savers,MEDDREG TECHNOLOGY,2003/014869/23,RT32,"AH-603283/
UP6856",2020.04.07,2020-04-07,each,"2,000",1.04,2080.00
Department of Correctional Services (DCS),Free State,UPINGTON,Sleeve Protector,MEDICORE TECHNOLOGIES,2015/312638/07,NT SUPPLIER,AH-603281,2020.04.03,2020-04-03,pack of 10,10,22.00,220.00
Department of Correctional Services (DCS),Free State,UPINGTON,Matress Cover for hospitals,ARJO HUNTLEIGH AFRICA,2001/016670/07,RT24,"AH-60327/ UP-
6849",3/25/2020,2020-03-25,each,100,474.81,47481.00
Department of Correctional Services (DCS),Free State,UPINGTON,N95 masks,LOIRA MEDICAL SUPPLIERS,2011/013434/23,RT32,"AH-603278/01/
UP-6841",3/26/2020,2020-03-26,Boxes of 30,120,187.25,22470.00
Department of Correctional Services (DCS),Free State,UPINGTON,Over shoe woven,MEDICAL INTERNATIONAL,2007/023366/23,RT32,AH-603284,2020.04.08,2020-04-08,Boxes of 100,"1,000",19.23,19230.00
Department of Correctional Services (DCS),Free State,UPINGTON,Paper towels,Promed Technologies,2014/162486/07,RT14,"AH-603274/ UP-
6848",3/24/2020,2020-03-24,each,50,55.75,2787.50
Department of Correctional Services (DCS),Free State,UPINGTON,Sanitizer Detergent,VITALIFE MEDICAL,2015/448013/07,RT296/2020,AH-603272,2020.03.23,2020-03-23,Litre,"1,000",40.37,40370.00
Department of Correctional Services (DCS),Free State,UPINGTON,Surgical masks,MULTISURGE,2014/170364/07,RT COVID19-001 TO 003 RT32,"AH-603279/UP-
6844",2020.03.26,2020-03-26,Boxes of 30,120,460.00,16100.00
Department of Correctional Services (DCS),Free State,UPINGTON,Sterisol (hand sanitizer),BARRS PHARMACEUTICAL,2012/056577/07,RT 300,"AH-603276/01/
UP-6847",2020.03.25,2020-03-25,500ml,400,14.44,5776.00
Department of Correctional Services (DCS),Free State,UPINGTON,Surgical scrub 500ml,BARRS PHARMACEUTICAL,2012/056577/07,RT 300,"AH-603280/ UP-
6847",3/26/2020,2020-03-26,500ml,150,21.92,3288.00
Department of Correctional Services (DCS),Free State,UPINGTON,SteriPrep,BARRS PHARMACEUTICAL,2012/056577/07,RT300,AH-603276/01,2020.03.25,2020-03-25,500ml,400,16.41,6564.00
Department of Correctional Services (DCS),Free State,UPINGTON,Steri Scrub 5L,BARRS PHARMACEUTICAL,2012/056577/07,RT300,AH-603276/01,3/26/2020,2020-03-26,5L,400,125.00,15993.00
Department of Correctional Services (DCS),Free State,UPINGTON,Sleeve Protector,MEDI-CORE,2013/198711/07,NT SUPPLIER,AH-603281,2020.03.26,2020-03-26,Each,10,22.00,220.00
Department of Correctional Services (DCS),Free State,UPINGTON,Temperature Scanner,MULTISURGE,2014/170364/07,RT32,"AH-603280/ UP-
6845",3/26/2020,2020-03-26,Each,6,2300.00,13800.00
Department of Correctional Services (DCS),Free State,UPINGTON,Tongue Depressor,EVERGREEN LATEX CC,2002/057771/23,RT76,"AH-603280/ UP-
6853",3/26/2020,2020-03-26,Box  OF 100,5,8.68,43.40
Department of Correctional Services (DCS),Free State,UPINGTON,Non Sterile Gloves meduim,EVERGREEN LATEX CC,2002/057771/23,RT76,"AH-603280/ UP-
6853",2020.03.26,2020-03-26,PACK OF 100,400,49.86,19944.00
Department of Correctional Services (DCS),Free State,UPINGTON,Sterile Gloves,EVERGREEN LATEX CC,2002/057771/23,RT76,"AH-603280/ UP-
6853",2020.03.26,2020-03-26,Box OF 100,1,92.00,92.00
Department of Correctional Services (DCS),Free State,UPINGTON,Sterile Gloves,EVERGREEN LATEX CC,2002/057771/23,RT76,"AH-603280/ UP-
6853",2020.03.26,2020-03-26,Box  OF 100,1,92.00,92.00
Department of Correctional Services (DCS),Free State,UPINGTON,Alcohol based sanitiser,CRYSTAL LAGOON,2016/068125/07,EMERGENCY PROCUREMENT,AH-615469,3/23/2020,2020-03-23,500ml/Litre,15,125.00,1875.00
Department of Correctional Services (DCS),Free State,UPINGTON,10 x Dromex Heavy Duty Gloves,CRYSTAL LAGOON,2016/068125/07,EMERGENCY PROCUREMENT,AH-615470,3/24/2020,2020-03-24,PACK OF 10,10,15.00,150.00
Department of Correctional Services (DCS),Free State,UPINGTON,Gloves latex disposable large,EVERGREEN,2002/057771/23,RT76,AH-615464,3/20/2020,2020-03-20,Boxes of 100,"1,000",0.49,997.20
Department of Correctional Services (DCS),Free State,UPINGTON,latex powder free gloves (non-sterile)M,EVERGREEN,2002/057771/23,RT76,AH-615466,3/20/2020,2020-03-20,Boxes of 100,1000,43.35,433.50
Department of Correctional Services (DCS),Free State,UPINGTON,Non Sterile Gloves,EVERGREEN,2002/057771/23,RT76,AH-615464,3/20/2020,2020-03-20,Box of 100,"1,000",0.49,498.60
Department of Correctional Services (DCS),Free State,UPINGTON,N95 masks,SAFARMEX,"2007/033535/07
2014/162486/07",RT32,AH-615463,3/20/2020,2020-03-20,each,"1,000",5.98,5986.50
Department of Correctional Services (DCS),Free State,UPINGTON,Paper towels,Promed Technologies,,RT14,AH-615471,3/24/2020,2020-03-24,each,30,55.75,1672.50
Department of Correctional Services (DCS),Free State,UPINGTON,Surgical masks,BIOLOGICA PHARMACEUTICAL,,RT32,AH-615467,3/23/2020,2020-03-23,Boxes of 10,1000,26.65,13325.00
Department of Correctional Services (DCS),Free State,UPINGTON,Surgical scrub 500ml,CRYSTAL LAGOON,2016/068125/07,PRICE QUATATION,AH-615470,3/24/2020,2020-03-24,500ml,10,145.00,1450.00
Department of Correctional Services (DCS),Free State,UPINGTON,Alcohol based sanitiser,CRYSTAL LAGOON,2016/068125/07,EMERCENCY PROCUREMENT,SP-N628002,3/20/2020,2020-03-20,1L,30,125.00,3750.00
Department of Correctional Services (DCS),Free State,UPINGTON,Heavy duty gloves,CRYSTAL LAGOON,2016/068125/07,EMERCENCY PROCUREMENT,SP-N628020,3/20/2020,2020-03-20,Boxes of 100,204,31.45,6415.80
Department of Correctional Services (DCS),Free State,UPINGTON,Non Sterile Golves,CRYSTAL LAGOON,2016/068125/07,RT76 / EMERCENCY PROCUREMENT,"SP-N628006 /SP-
N628019",3/20/2020,2020-03-20,Box of 100,7000+200,0.78,5670.00
Department of Correctional Services (DCS),Free State,UPINGTON,Disposable Gown Isolation,LECHOBA MEDICAL,2005/044442/07,RTCOVID-19,UP-006929,3/25/2020,2020-03-25,each,200,59.95,11990.00
Department of Correctional Services (DCS),Free State,UPINGTON,DECONTAMINATION OF PAROL BOARD UPI,BGIDTOVENS TC ESNTETIRNEER,2000/011155/07,PRICE QUATATION,AH-603292,2020.07.17,2020-07-17,,1,4.07,7886.53
Department of Correctional Services (DCS),Free State,BIZZAH MAKHATE,Decontamination Servies,Pest Mnagement Solutions,2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",KN-012962,07/12/2020,2020-12-07,,1,1875.00,1875.00
Department of Correctional Services (DCS),Free State,BIZZAH MAKHATE,Decontamination Servies,Go Squared,2019/554405/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",AC-765169,7/20/2020,2020-07-20,,1,10126.14,10126.14
Department of Correctional Services (DCS),Free State,BIZZAH MAKHATE,Decontamination Servies,"Gin Production and Events
Mnagement",2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",KN-012961,2020/07/1/,,,1,3639.77,3639.77
Department of Correctional Services (DCS),Free State,BIZZAH MAKHATE,Decontamination Servies,Pest Mnagement Solutions,2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",HR-002915,30/07/2020,2020-07-30,,1,9702.53,9702.53
Department of Correctional Services (DCS),Free State,BIZZAH MAKHATE,Decontamination Servies,Pest Mnagement Solutions,2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",AC-765170,7/24/2020,2020-07-24,,1,2067.00,2067.00
Department of Correctional Services (DCS),Free State,BIZZAH MAKHATE,Decontamination Servies,Pest Mnagement Solutions,2013/060038/07,"N0/ EMERGENCY PROCUREMET NORMAL PRICE
QUOTATION",AC-765171,7/27/2020,2020-07-27,,1,4337.00,4337.00
