buyer_name,implementation_location_other,items_description,supplier_name,comapny_registration_number,procurement_method,UNIT OF MEASURE,order_number,invoice_date,items_quantity,cost_per_unit_zar,order_amount_zar
Department of Correctional Services (DCS),Pietermaritzburg,Disposable Gown,DIMK PTY LTD,2016/391176/07,QUOTATION,EACH,AC-404430,3/19/2020,500,19.85,9925.00
Department of Correctional Services (DCS),Pietermaritzburg,Spray Bottles (2 liters),STARDUST MARKERTING,2019/622167/07,QUOTATION,EA,AC-404611,3/23/2020,300,25.00,7500.00
Department of Correctional Services (DCS),Pietermaritzburg,GLOCO METER,STARDUST MARKERTING,2019/622167/07,QUOTATION,EACH,AC-404611,3/23/2020,12,9311.11,111733.32
Department of Correctional Services (DCS),Pietermaritzburg,ENT SET,STARDUST MARKERTING,2019/622167/07,QUOTATION,EACH,AC-404611,3/23/2020,20,3623.10,72462.00
Department of Correctional Services (DCS),Pietermaritzburg,HB METER,STARDUST MARKERTING,2019/622167/07,QUOTATION,EACH,AC-404611,3/23/2020,12,3737.50,44850.00
Department of Correctional Services (DCS),Pietermaritzburg,STETHOSCOPE,STARDUST MARKERTING,2019/622167/07,QUOTATION,EACH,AC-404611,3/23/2020,15,455.00,6824.96
Department of Correctional Services (DCS),Pietermaritzburg,LARYNGOSCOPE,STARDUST MARKERTING,2019/622167/07,QUOTATION,EACH,AC-404611,3/23/2020,5,4773.13,23865.65
Department of Correctional Services (DCS),Pietermaritzburg,Cartridges Samsung(printing medical reports),RISING FAST TRADING,2016//431333/07,QUOTATION,EACH,AC-404638,3/26/2020,10,2500.00,25000.00
Department of Correctional Services (DCS),Pietermaritzburg,Cartridges (printing medical reports),SIYAKHULIS TRADING,2004/099727/23,QUOTATION,EA,AC-404431,3/19/2020,10,1900.00,19000.00
Department of Correctional Services (DCS),Pietermaritzburg,Heavy duty gloves,SIYAKHULIS TRADING,2004/099727/23,QUOTATION,EACH,AC-404431,3/19/2020,500,18.00,9000.00
Department of Correctional Services (DCS),Pietermaritzburg,Batteries,SIYAKHULIS TRADING,2004/099727/23,QUOTATION,EA,AC-404431,3/19/2020,310,49.00,15190.00
Department of Correctional Services (DCS),Pietermaritzburg,NON STERILE GLOVES MEDIUM,EVERGREEN LATEX CC,2002/057771/23,RT76,BOX,AC-085644,07/03/2020,100,51.27,5127.00
Department of Correctional Services (DCS),Pietermaritzburg,NON STERILE GLOVES LARGE,EVERGREEN LATEX CC,2002/057771/23,RT76,BOX,AC-085644,07/03/2020,100,51.27,5127.00
Department of Correctional Services (DCS),Pietermaritzburg,NON STERILE GLOVES,SUPRA HEALTH CARE,2007/027848/07,QUOTATION,BOX,AC-404428,3/19/2020,"1,100",42.24,46458.50
Department of Correctional Services (DCS),Pietermaritzburg,LATEX GLOVES,SUPRA HEALTH CARE,2007/027848/07,QUOTATION,BOX,AC-404428,3/19/2020,100,458.85,45885.00
Department of Correctional Services (DCS),Pietermaritzburg,Sleeve protector (single use),UMUSA KAMI SUPPLIES,2019//443164/07,QUOTATION,BOX,AC-450365,04/08/2020,20,176.75,3535.00
Department of Correctional Services (DCS),Pietermaritzburg,Flu Vaccine,KARMA BIOTECH,,RT285,EA,AC-404636,3/26/2020,2450,39.93,97828.50
Department of Correctional Services (DCS),Pietermaritzburg,PROTECTIVE GOOGLES,UMUSA KAMI SUPPLIES,2019/443164/07,QUOTATION,EA,AC-085601,4/14/2020,350,60.00,21000.00
Department of Correctional Services (DCS),Pietermaritzburg,Full face shield,HYCHEM (PTY) LTD,2012/045088/07,QUOTATION,EA,AC-085604,4/16/2020,9900,9.50,108158.00
Department of Correctional Services (DCS),Pietermaritzburg,Water boot (gumboots),BBF SAFETY,2014/095914/07,RT59,PAIR,AC-404444,3/19/2020,154,152.00,23408.00
Department of Correctional Services (DCS),Pietermaritzburg,Colour coded mops& buckets,KWANDOKUHLE TRADING,2018/255751/07,QUOTATION,EA,AC-404446,3/19/2020,70,330.00,23100.00
Department of Correctional Services (DCS),Pietermaritzburg,Colour coded buckets,KWANDOKUHLE TRADING,2018/255751/07,QUOTATION,EA,AC-404446,3/19/2020,70,290.00,20300.00
Department of Correctional Services (DCS),Pietermaritzburg,Pedals,KWANDOKUHLE TRADING,2018/255751/07,QUOTATION,EA,AC-404446,3/19/2020,80,230.00,18400.00
Department of Correctional Services (DCS),Pietermaritzburg,PULSE OXIMETER,CLASS THREE MEDICAL,2017/535986/07,RT2,EA,AC-404448,3/19/2020,5,5561.40,27807.00
Department of Correctional Services (DCS),Waterval,Surgical masks,"BIOLOGICAL PHARMACEUTICAL
(PTY) LTD",2013/067392/07,RT296-08-271,EA,AC-085394,3/20/2020,10 000,26.65,266500.00
Department of Correctional Services (DCS),Waterval,Surgical masks,I.H.S.,,COVID 030,BX,AC-085435,4/21/2020,200 X 50,511.00,102200.00
Department of Correctional Services (DCS),Waterval,Surgical masks,"BIOLOGICAL PHARMACEUTICAL
(PTY)LTD",2013/067392/07,RT296-2020,EA,WV-010858,2020.05.07,"30,000",26.65,799500.00
Department of Correctional Services (DCS),Waterval,Surgical masks,"BIOLOGICAL PHARMACEUTICAL
(PTY)LTD",2013/067392/07,RT296-2020,EA,AC-085728,2020.07.17,"30,000",26.65,799500.00
Department of Correctional Services (DCS),Waterval,N95 masks,LIORA MEDICAL SUPPLIES,2011/013434/23,RT32,EA,AC-085422,4/16/2020,10 000,5.35,53500.00
Department of Correctional Services (DCS),Waterval,N95 masks,I.H.S.,2011/013434/23,COVID 033,BX,AC-085435,4/21/2020,100 X 10,413.60,41360.00
Department of Correctional Services (DCS),Waterval,N95 masks,LIORA MEDICAL SUPPLIES,2011/013434/23,RT32,EA,AC-085710,2020.06.10,500,5.35,2675.00
Department of Correctional Services (DCS),Waterval,Disposable Gown,PROMED TECHNOLOGIES,2014/162486/07,RT76-2021,EA,AC-085414,04/08/2020,1000,23.83,23830.00
Department of Correctional Services (DCS),Waterval,Disposable Gown,I.H.S.,,COVID 037,EA,AC-085435,4/21/2020,500,64.25,32125.00
Department of Correctional Services (DCS),Waterval,Disposable Gown,PROMED TECHNOLOGIES,2014/162486/07,RT76-2021,EA,WV-010983,6/17/2020,"10,000",23.83,238300.00
Department of Correctional Services (DCS),Waterval,Full face shield (VISOR),I.H.S.,,COVID 036,EA,AC-085435,4/21/2020,1000,75.00,75000.00
Department of Correctional Services (DCS),Waterval,Full face shield (VISOR),HYCHEM PTY LTD,2012/045088/07,QUOTATION,EA,AC-085707,06/10/2020,600,13.80,8280.00
Department of Correctional Services (DCS),Waterval,Protective goggles ONLY,RETROLEX,2010/015353/23,QUOTATION,EA,WV-010764,3/19/2020,150,45.00,6750.00
Department of Correctional Services (DCS),Waterval,Protective goggles ONLY,I.H.S.,2010/015353/23,COVID 035,EA,AC-085435,4/21/2020,300,149.00,44700.00
Department of Correctional Services (DCS),Waterval,Disposable aprons,CENTRAL MEDICAL (PTY) LTD,1995/003785/07,RT76-2016,EA,AC-085388,3/18/2020,100 000,0.32,32000.00
Department of Correctional Services (DCS),Waterval,Disposable scrub suit,PROMED TECHNOLOGIES,2014/162486/07,RT76-2021,EA,AC-085414,04/08/2020,200,13.57,2714.00
Department of Correctional Services (DCS),Waterval,Disposable scrub suit,PROMED TECHNOLOGIES,2014/162486/07,RT32-2019,EA,WV-010983,6/17/2020,2000,17.19,34380.00
Department of Correctional Services (DCS),Waterval,Spill Kits Biological,CLASS THREE MEDCICAL,2017/535986/07,quotations,EA,AC-085716,2020.06.11,17,1731.90,29442.30
Department of Correctional Services (DCS),Waterval,Non Sterile Golves,EVERGREEN LATEX CC,2002/057771/23,RT76-2020,EA,AC-085391,3/19/2020,10 000,0.92,9200.00
Department of Correctional Services (DCS),Waterval,Non Sterile Golves,PROMED TECHNOLOGIES,2014/162486/07,RT76-2020,EA,AC-085418,04/08/2020,20 000,0.46,9200.00
Department of Correctional Services (DCS),Waterval,Non Sterile Golves,I.H.S.,,COVID 025,BOX,AC-085435,4/21/2020,200 x 100,278.00,55600.00
Department of Correctional Services (DCS),Waterval,Gloves latex disposable large,PROMED TECHNOLOGIES,2014/162486/07,RT76-2021,EA,AC-85418,04/08/2020,20 000,1.29,25800.00
Department of Correctional Services (DCS),Waterval,Gloves latex disposable large,I.H.S.,,COVID 003,BX,AC-085435,4/21/2020,100 X 100,138.00,13800.00
Department of Correctional Services (DCS),Waterval,Gloves latex disposable large,I.H.S.,,COVID 006,BX,AC-085435,4/21/2020,100 X 100,138.00,13800.00
Department of Correctional Services (DCS),Waterval,Gloves latex disposable large,EVERGREEN LATEX CC,2002/057771/23,RT76-2021,EA,AC-085708,2020.06.10,300,49.86,14958.00
Department of Correctional Services (DCS),Waterval,Temperature Scanner,DR TEMP,2013/120599/07,RT32,EA,AC-085423,4/16/2020,1000,7.73,7730.00
Department of Correctional Services (DCS),Waterval,Temperature Scanner,I.H.S.,,COVID 045,EA,AC-085435,4/21/2020,10,1888.50,18885.00
Department of Correctional Services (DCS),Waterval,Temperature Scanner,VPLUS TRADING,2015/338099/07,QUOTATION,EA,WV-010956,6/17/2020,20,1447.50,28950.00
Department of Correctional Services (DCS),Waterval,Alcohol based hand sanitiser,"LOGAN MEDICAL AND SURGICAL
SUPPLIES CC",2012/056508/07,QUOTATION,EA,AC-085393,3/20/2020,1030,189.80,195500.00
Department of Correctional Services (DCS),Waterval,,Terata Supplies,2017/469259/07,QUOTATION,EA,AC-085401,3/27/2020,245,122.00,29890.00
Department of Correctional Services (DCS),Waterval,,UKNP TRADING,2001/005154/23,QUOTATION,EA,AC-085397,3/19/2020,60,495.00,29700.00
Department of Correctional Services (DCS),Waterval,,"BARRS PHARMACEUTICALS (PTY)
LTD",2012/056577/07,RT-300,BT,AC-085413,04/08/2020,10 000,13.89,138900.00
Department of Correctional Services (DCS),Waterval,,I.H.S.,,COVID 046,BT,AC-085435,4/21/2020,250 X 500ML,46.37,11592.50
Department of Correctional Services (DCS),Waterval,,I.H.S.,,COVID 049,BT,AC-085435,4/21/2020,40 X 25 LT,1635.45,65418.00
Department of Correctional Services (DCS),Waterval,,"BARRS PHARMACEUTICALS (PTY)
LTD",2012/056577/07,RT-300,BT,AC-085386,4/21/2020,1000X500ML,21.92,21920.00
Department of Correctional Services (DCS),Waterval,,"JH CHEMICALS TRADING AS JAVU
HOLDINGS",2015/310741/07,QUOTATION,BT,AC-085445,4/28/2020,300X500ML,63.25,18975.00
Department of Correctional Services (DCS),Waterval,,"BARRS PHARMACEUTICALS (PTY)
LTD",2012/056577/07,RT 300,LT,AC -085717,6/22/2020,500MLX4000,14.01,56040.00
Department of Correctional Services (DCS),Waterval,,"HONEY BEE TRADE AND INVEST PTY
LTD",2015/376173/07,QUOTATION,LT,AC-085718,6/26/2020,260X5 (1300),340.00,88400.00
Department of Correctional Services (DCS),Waterval,Surgical scrub 500ml,"HOSPITAL EQUIPMENT
MANUFACTRURER PTY LTD",2000/000651/07,QUOTATION,BT,AC-085431,4/16/2020,400X500ML,58.80,23520.00
Department of Correctional Services (DCS),Waterval,Surgical scrub 5LT,"BARRS PHARMACEUTICALS (PTY)
LTD",2012/056577/07,RT 300,LT,AC-085717,6/22/2020,400X5LT,155.18,62072.00
Department of Correctional Services (DCS),Waterval,Biocide D / Bleach,SNOTHILE BESUTHU,2016/357629/07,QUOTATION,LT,AC-085432,4/17/2020,10X25LT,12.80,3200.00
Department of Correctional Services (DCS),Waterval,,INSPEC -A PEST,2007/009937/23,"EMAILDD 2020.04.14 BD 25 FROM RC MR
MATHENJWA WB ?",LT,WV-010990,2020.06.15,570,207.00,117990.00
Department of Correctional Services (DCS),Waterval,,TIMTAKEOVAL PTY LTD,2017/234792/07,QUOTATION,LT,AC-085729,2020.07.20,1500LT,383.33,23000.00
Department of Correctional Services (DCS),Waterval,Bleach,HYCHEM PTY LTD,2012/045088/07,QUOTATION,LT,AC-085706,2020.06.09,1500LT,17.48,26220.00
Department of Correctional Services (DCS),Waterval,Paper towels,PROMED TECHNOLOGIES,2014/162486/07,RT 14111703-00008,RA,AC-085392,3/19/2020,1000,55.75,55750.00
Department of Correctional Services (DCS),Waterval,,PROMED TECHNOLOGIES,2014/162486/07,RT 14111703-00008,RA,AC-085419,4/14/2020,2000,55.76,111500.00
Department of Correctional Services (DCS),Waterval,,PROMED TECHNOLOGIES,2014/162486/07,RT232-2019,RA,WV-010983,06/07/2020,5000,18.84,94200.00
Department of Correctional Services (DCS),Waterval,Heavy duty rubber cleaning glove,TCC CHEMICALS,2002/029401/23,QUOTATION,PR,WV-010765,3/19/2020,600,30.00,18000.00
Department of Correctional Services (DCS),Waterval,Heavy duty rubber cleaning glove,KHULAMBULAZI,2019/181820/07,QUOTATION,PR,AC-085428,4/16/2020,500,34.00,17000.00
Department of Correctional Services (DCS),Waterval,Cooler Box 2liters,"BOTHALE PROJECTS AND
CONSTRUCTIONS",2017/377599/07,QUOTATION,EA,AC-085430,4/16/2020,10,196.57,1965.70
Department of Correctional Services (DCS),Waterval,Spray Bottles (2 liters),"BOTHLALE PROJECTS AND
CONSTRUCTION PTY LTD",2017/377599/07,QUOTATION,EA,AC-085420,4/14/2020,500X2LT,12.42,6210.00
Department of Correctional Services (DCS),Waterval,Spray Bottles,I.H.S.,,COVID 054,EA,AC-085435,4/21/2020,300X500ML,24.30,7290.00
Department of Correctional Services (DCS),Waterval,,INSPEC -A PEST,2007/009937/23,"EMAILDD 2020.04.14 BD 25 FROM RC MR
MATHENJWA WB (ITS CORRECT?",EA,WV-010927,06/04/2020,2,402.50,805.00
Department of Correctional Services (DCS),Waterval,Plastic Covered Matresses,SA INDUSTRIAL SUPPLIES,2017/000098/07,QUOTATION,EA,AC-085429,4/16/2020,200,109.87,21974.00
Department of Correctional Services (DCS),Waterval,Disposable Linen,PROMED TECHNOLOGIES,2014/162486/07,RT32,EA,AC-085424,4/16/2020,5000,2.18,10900.00
Department of Correctional Services (DCS),Waterval,,PROMED TECHNOLOGIES,2014/162486/07,RT32-2019,EA,WV-010983,6/17/2020,5000,2.18,10900.00
Department of Correctional Services (DCS),Waterval,Disposable coverall suits,ALFREHUTCH TRADING CC,2008/130764/23,RTCOVID19-014,EA,AC-085395,3/20/2020,1000,89.76,89760.00
Department of Correctional Services (DCS),Waterval,Disposable coverall suits,I.H.S.,,COVID 041,EA,AC-085435,4/21/2020,200,300.11,60022.00
Department of Correctional Services (DCS),Waterval,Disposable coverall suits,I.H.S.,,COVID 042,EA,AC-085435,4/21/2020,200,300.11,60022.00
Department of Correctional Services (DCS),Waterval,Tongue Depressor,EVERGREEN LATEX CC,2002/057771/23,RT76-2020,BOX,AC-085415,04/08/2020,300,8.68,2604.00
Department of Correctional Services (DCS),Waterval,,EVERGREEN LATEX CC,2002/057771/23,RT32-2019,BX,AC-085712,2020.06.10,50,8.68,434.00
Department of Correctional Services (DCS),Waterval,Matress Cover for hospitals,"HOSPITAL EQUIPMENT
MANUFACTRURER PTY LTD",2000/000651/07,RT24,EA,AC-085433,4/21/2020,120,563.12,67574.40
Department of Correctional Services (DCS),Waterval,Batteries / Thermoscan probes,"MZUZOVAMA HLULUWE CRESSECT
NO 26 NLCANDU PARK NEWCASTLE",2017/470194/07,QUOTATION,EA,AC-085402,3/25/2020,30,35.76,2146.00
Department of Correctional Services (DCS),Waterval,Batteries / Thermoscan probes,"MZUZOVAMA HLULUWE CRESSECT
NO 26 NLCANDU PARK NEWCASTLE",2017/470194/07,QUOTATION( NOT FOUND),EA,WV-010401,3/25/2020,100,179.20,17920.00
Department of Correctional Services (DCS),Waterval,Linen Savers,"LOGAN MEDICAL AND SURGICAL
SUPPLIES CC",2012/056508/07,RT32,EA,AC-085416,04/08/2020,5000,0.78,3900.00
Department of Correctional Services (DCS),Waterval,Brush Surgical Sterile (single use),"LOGAN MEDICAL AND SURGICAL
SUPPLIES CC",2012/056508/07,RT32,EA,AC-085425,4/16/2020,1000,3.01,3010.00
Department of Correctional Services (DCS),Waterval,Over shoe non woven (single use),I.H.S.,2012/056508/07,COVID 044,BX,AC-085435,4/21/2020,5 X 100,130.00,650.00
Department of Correctional Services (DCS),,,KKAP MDICAL SUPPLIES,2012/056508/07,RT32,BOX,AC-085426,4/16/2020,1000,21.00,21000.00
Department of Correctional Services (DCS),Waterval,Sleeve protector (single use),MEDI-CORE TECHNOLOGIES,2013/198711/07,RT32,EA,AC-085427,4/16/2020,10 000,0.22,2200.00
Department of Correctional Services (DCS),Waterval,Drip stand mobile,NEW HORIZON METALS CC,2000/007991/23,RT24,EA,AC-085434,4/21/2020,4,560.64,2242.56
Department of Correctional Services (DCS),Waterval,Petal bins stainless steel,SNOTHILE BESUTHU,2016/357629/07,QUOTATION,EA,AC-085438,20200420,50,300.00,15000.00
Department of Correctional Services (DCS),Waterval,Red plastic bags (biohazerdous bags),I.H.S.,,COVID 050,EA,AC-085435,4/21/2020,300,1.80,540.00
Department of Correctional Services (DCS),Waterval,Anti-Bacterial liquid soap,SAMAZULU,2018/560743/07,QUOTATION,25LT,AC-085200,4/14/2020,200 LT,1875.00,15000.00
Department of Correctional Services (DCS),Waterval,Sanitizer (mounted),SNOTHILE BESUTHU,2016/357629/07,QUOTATION,EA,AC-085437,4/22/2020,29,1000.00,29000.00
Department of Correctional Services (DCS),Waterval,Soap dispenser (mounted),"BOTHLALE PROJECTS AND
CONSTRUCTION PTY LTD",2017/377599/07,QUOTATION,EA,AC-085436,4/22/2020,22,887.28,19520.00
Department of Correctional Services (DCS),Waterval,Soap dispenser (mounted),PHUME ENHLE PTY LTD,2015/252383/07,QUOTATION,EA,AC-085439,4/22/2020,70,426.00,29820.00
Department of Correctional Services (DCS),Waterval,Soap dispenser (mounted),PN MEDICAL,2007/031947/07,QUOTATION,EA,WV-010871,2020.05.14,124,932.33,115609.50
Department of Correctional Services (DCS),Waterval,Service waste removal,CENTRAL MEDICAL (PTY) LTD,1995/003785/07,QUOTATION,EA,WV-010796,4/22/2020,1,12588.35,12588.35
Department of Correctional Services (DCS),Waterval,Face Coth Masks for Officials,SHONGOLOLO PRINTERS,2015/061732/07,QUOTATION,EA,AC-085447,05/05/2020,1250,24.00,30000.00
Department of Correctional Services (DCS),Waterval,HB Meter,TRIPHARMA,2013/179232/07,QUOTATION,EA,WV-010865,05/12/2020,12,1386.47,16637.64
Department of Correctional Services (DCS),Waterval,Stand Wash Hand Steel ( Sani Stand),COSMOS,2001/005154/23,QUOTATION,EA,WV-010877,5/14/2020,29,890.00,25810.00
Department of Correctional Services (DCS),Waterval,Spray Bottle Knapsak Spuite,BKB UTRECHT,,QUOTATION,EA,WV-010867,5/13/2020,15,333.01,4995.15
Department of Correctional Services (DCS),Waterval,"DECONTEMINATION OF Hospital, Club and SCM
WATERVAL",DNA FUMIGATION SERIVES,7.3E+12,QUOTATION,SQUARE METER,AC-085398,2020.03.23,Service,15000.00,15000.00
Department of Correctional Services (DCS),Waterval,"DECONTEMINATION OF ADMIN BLOCK  AC Office
WATERVAL",DNA FUMIGATION SERIVES,7.3E+12,QUOTATION,SQUARE METER,AC-085721,07/09/2020,Service,2499.99,2499.99
Department of Correctional Services (DCS),Waterval,"DECONTEMINATION OF ADMIN BLOCK NEWCASTLE
PRISON",DNA FUMIGATION SERIVES,7.3E+12,QUOTATION,SQUARE METER,AC-085722,07/10/2020,Service,3.91,1437.50
Department of Correctional Services (DCS),Waterval,"DECONTEMINATION OF CORRECTIONAL CENTRE MED B
WATERVAL",KHULAMBULAZI PROJECTS,2019/181820/07,QUOTATION,"SQUARE METER:
Hospital, Unit A, Unit
B and Kitchen",AC-085726,2020.07.16,Service,6500.00,6500.00
Department of Correctional Services (DCS),Waterval,"DECONTEMINATION OF CORRECTIONAL CENTRE MED A
WATERVAL",KHULAMBULAZI  PROJECTS,2019/181820/07,QUOTATION,"SQUARE METER:
975m2, 23 Offices
incl Toilets",AC-085727,2020.07.17,Service,6000.00,6000.00
Department of Correctional Services (DCS),Waterval,"DECONTEMINATION OF CORRECTIONAL CENTRE CLUB
BUILDING, TRAINING CENTRE AND OFFICES WATERVAL",UNI TRADE SPECIALSTS,1998/030161/23,QUOTATION,"SQUARE METER:
2890 M2",AC-085730,2020.07.27,Service,7360.00,7360.00
Department of Correctional Services (DCS),Waterval,DECONTEMINATION OF CORRECTIONAL CENTRE UTRECHT WATERVAL,DNA FUMIGATION SERIVES,7.3E+12,QUOTATION,"SQUARE METER:
1023M2 : 15 Offices,
cells, Kitchen, Toilets,
Ablutions and
Hospital Section",AC-085734,2020.07.31,Service,2415.00,2415.00
Department of Correctional Services (DCS),Waterval,DECONTEMINATION OF SCM OFFICES  WATERVAL,UNI TRADE SPECIALSTS,1998/030161/23,QUOTATION,SQUARE METER;2890M,AC-085735,2020.07.31,Service,2300.00,2300.00
