implementation_location_province,buyer_name,INSTITUTION,award_date,PRODUCT,ITEM,item_description,UNIT OF MEASURE,cost_per_unit_zar,QUALITY OF UNITS,order_amount_zar,supplier_name
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-17,Themometers,Thermometers: Infrared,Thermometers,Each,2300.00,1000,2300000.00,Trufix Industrial Services CC
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-17,Dispensers,Knapsack sprayers,Spray pump 16 Litres,Each,1590.00,300,477000.00,Umshiniwam Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-17,Themometers,Thermometers: Infrared,Thermometers,Each,1600.00,1000,1600000.00,Sipho Segugu Trading
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-17,Themometers,Thermometers: Infrared,Thermometers,Each,2400.00,2000,4800000.00,Bonganjalo Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-30,Sanitizers,Soap - Liquid,Liquid soap,Each,119.60,21800,2607280.00,Oshlanga Enterprises
KwaZulu-Natal,KwaZulu-Natal Department of Education,Education,2020-06-26,Other,Provide Details,"Storage, decanting, transportation, labelling and distribution of donated sanitisers .",Each,1715364.00,1,1715364.00,African Grey Trading
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-16,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,57.50,40000,2300000.00,Logan Medical & Surgical {Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-16,PPE,Isolation Gown,Isolation Gown,Single Unit,28.75,40000,1150000.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-16,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,12.65,200000,2530000.00,Logan Medical & Surgical {Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-16,Masks,Respirator,Particulate Respirator (Mask) N95/FFP2,Single Unit,48.88,100000,4887500.00,R M A Consulting  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-24,Gloves,Gloves: Examination (Latex),Gloves: Examination (Latex),Box,68.70,10000,687000.00,Safarmex  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-24,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,12.50,100000,1250000.00,lphakhade Trading (Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-24,Gloves,Gloves: Examination (Latex),Gloves: Examination (Latex),Box,91.41,5000,457067.50,Safarmex  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-24,Gloves,Gloves: Examination (Latex),Gloves: Examination (Latex),Box,91.41,10000,914135.00,Safarmex  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-24,Masks,Respirator,Particulate Respirator (Mask) N95/FFP2,Single Unit,57.00,10000,570000.00,lphakhade Trading (Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-24,PPE,Scrub Suite - Shirt,Scrub Suite - Shirt,Case,20.16,4320,87088.50,O and M Halyard South Africa 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-24,PPE,Scrub Suite - Pants,Scrub Suite - Pants,Case,31.75,4320,137143.80,0 and M Halyard South Africa
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-24,Gloves,Gloves: Cuff-length High Risk,Gloves: Cuff-length High Risk,Box,212.80,800,170236.80,0 and M Halyard South Africa
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-25,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,167.87,40000,6714620.00,Carovision  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-25,PPE,Visor/ Face-Shield,Visor/ Face-Shield,Single Unit,18.00,20000,360000.00,Unitrade  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-25,PPE,Goggles,Goggles,Single Unit,39.56,8500,336260.00,lntoyamehlo  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-25,Masks,Respirator,Particulate Respirator (Mask) N95/FFP2,Single Unit,90.85,20000,1817000.00,Juba Fly  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-25,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,143.00,40000,5720000.00,National Community Marketing 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-25,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,15.50,250000,3875000.00,Bellanova  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-25,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,103.50,41000,4243500.00,Steiner Hygiene  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-27,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,105.80,12000,1269600.00,LionBee Investments (Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-27,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,25.00,100000,2500000.00,The New Look  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-27,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,95.00,30000,2850000.00,Cyngatha CC.  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-27,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,105.80,20000,2116000.00,Gibela Trade & Invest  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-30,PPE,Visor/ Face-Shield,Visor/ Face-Shield,Single Unit,18.00,60000,1080000.00,Unitrade  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-30,PPE,Isolation Gown,Isolation Gown,Single Unit,59.95,100000,5995000.00,Lechoba Medical  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-30,Masks,Respirator,Particulate Respirator (Mask) N95/FFP2,Single Unit,49.00,200000,9800000.00,Andile Ruby Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-30,The mo meters,Thermometers: Digital,Digital Body Thermometer,Single Unit,2300.00,500,1150000.00,Multisurge  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-30,PPE,Gowns: Surgical,Surgical Gown,Single Unit,36.46,1440,52500.00,O and M Halyard South Africa 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-31,PPE,Gowns: Surgical,Surgical Gown,Single Unit,37.95,15000,569250.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-31,Masks,Respirator,Particulate Respirator (Mask) N95/FFP2,Single Unit,60.00,100000,6000000.00,Juba Fly  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-31,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,21.66,18000,389880.00,Healthware  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-31,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,27.60,500000,13800000.00,EGS  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-24,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,91.00,40000,3640000.00,lphakhade Trading (Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-30,The mo meters,Thermometers: Digital,Digital Body Thermometer,Single Unit,941.00,700,658700.00,Alframed Pty (Ltd)  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-24,Gloves,Gloves: Cuff-length High Risk,Gloves: Cuff-length High Risk,Box,2.43,100000,242720.00,SA Health Protecting Services CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-04,Gloves,Gloves: Cuff-length High Risk,Gloves: Cuff-length High Risk,Box,2.63,30000,79020.00,SA Health Protecting Services CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-04,Gloves,Gloves: Cuff-length High Risk,Gloves: Cuff-length High Risk,Box,2.43,15000,36408.00,SA Health Protecting Services CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-04,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,21.85,200000,4370000.00,Cum Laude Consulting  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-04,PPE,Gowns: Surgical,Surgical Gown,Single Unit,37.95,16150,612892.50,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-04,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,15.00,200000,3000000.00,NYI Logistics  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-04,PPE,Coveralls,Coveralls,Single Unit,450.00,1637,736650.00,Unitrade  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-04,PPE,Coveralls,Coveralls,Single Unit,450.00,2393,1076850.00,Unitrade  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-04,PPE,Coveralls,Coveralls,Single Unit,450.00,2244,1009800.00,Unitrade  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-03,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,24.50,100000,2450000.00,lthoshi Healthcare Solutions 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-03,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,24.70,100000,2470000.00,Nondlu Consultants  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-03,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,17.00,200000,3400000.00,Petro right LTD  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-03,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,19.00,200000,3800000.00,Orap Medical Supplies  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-03,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,45.00,20000,900000.00,Mafinikio Capital Investments 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-03,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,14.00,400000,5600000.00,Access Medical (Ply) 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-08,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,24.60,200000,4920000.00,Ezamancinza Investments  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-03,Masks,Respirator,Particulate Respirator (Mask) N95/FFP2,Case,6.94,1000020,6937924.97,0 and M Halyard South Africa
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-08,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,24.50,100000,2450000.00,Ezombuso Group  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-20,Biohazard,Biohazard Bags,Biohazard Bag,Single Unit,11.84,20000,236800.00,Buhle Waste  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-07,PPE,Boot Covers,Boot Covers,Packs,0.28,80000,22048.00,SA Health Protecting Services CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-08,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,18.50,200000,3700000.00,Dart Props  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-08,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,18.98,200000,3795000.00,Community Health  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-08,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,17.50,100000,1750000.00,lnqaba Medical  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-08,PPE,Apron,Aproo,Single Unit,0.32,200000,64000.00,Central Medical  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-03,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,17.00,300000,5100000.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-03,Gloves,Gloves: Cuff-length High Risk,Gloves: Cuff-length High Risk,Box,121.36,1000,121360.00,SA Health Protecting Services CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-15,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,195.50,50000,9775000.00,Pro Secure Ltd  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-15,PPE,Coveralls,Coveralls,Single Unit,358.99,107,38412.00,Lechoba Medical  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-15,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,105.80,50000,5290000.00,LionBee Investments (Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-15,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,20.00,200000,4000000.00,Platinum Medical and Surgical 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-15,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,20.00,200000,4000000.00,BSN Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-15,Sanitizers,Disinfectant,Sanitizer/ Disinfectant,Single Unit,93.18,50000,4659000.00,Andile Ruby Trading  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-14,Masks,Respirator,Particulate Respirator (Mask) FFP1,Single Unit,40.00,100000,4000000.00,Nostalgia  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-30,Sanitizers,Sanitizer,Sanitizer/Disinfectant,Single Unit,91.79,50000,4589500.00,Nyati Health Products  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-07,The mo meters,Thermometers: Digital,Digital Body Thermometer,Single Unit,2196.50,6000,13179000.00,Good Example Trading and Project 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-08,Masks,Mask (Surgical),Surgical Mask - 3-Ply - Ear Loop,Single Unit,12.31,500000,6152500.00,Premed Technologies (Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-12,PPE,Coveralls,Coveralls,Single Unit,201.25,20000,4025000.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-12,Gloves,Gloves: Examination (Latex),Gloves: Examination (Latex),Box of 100,471.50,5000,2357500.00,Liamed Medical  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-12,PPE,Isolation Gown,Isolation Gown,Single Unit,132.25,18194,2406156.50,Access Medical (Ply) 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-12,Gloves,Gloves: Cuff-length High Risk,Gloves: Cuff-length High Risk,Box of 100,471.50,5000,2357500.00,Liamed Medical  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-12,PPE,Visor/ Face-Shield,Visor/ Face-Shield,Single Unit,102.35,20000,2047000.00,Logan Medical & Surgical (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-24,Infrastructure,Quarantine,Quarantine Site Accommodation,Site,7436860.71,1,7436860.71,Coastlands Durban (Ply) Ltd 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-05,Catering,Quarantine Site,Quarantine Site Royal Showgrounds Catering,Site,5543460.00,1,5543460.00,Royal Agricultural Society 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-12,Gloves,Gloves: Examination (Latex),Gloves: Examination (Latex),Box of 100,25.99,20000,519840.00,Liamed Medical  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-09,Infrastructure,Quarantine,Pietermaritzburg - Doris Goodwin Hospital,Site,8581923.00,1,8581923.00,D.Construction  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-11,Infrastructure,Isolation,"Richmond - Richmond Chest Hospital - Conversion of Wards A2., A3 and Ward B3 into isolation wards",Site,61000000.00,1,61000000.00,ISU Engineering  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-09,Infrastructure,Isolation,Richmond - Richmond Chest Hospital - Conversion of Ward B2 into an isolation ward.,Site,25692563.33,1,25692563.33,Highpana Projects  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-07,Infrastructure,Isolation,"Richmond - Richmond Chest Hospital - Conversion of Ward A4, 81 and 85 into Isolation Wards",Site,80000000.00,1,80000000.00,Highpana Projects  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-11,Infrastructure,Other,"Durban - Clairwood Hospital - Complete refurbishment of ward roof, windows,, including sewer and plumbing",Site,80965509.26,1,80965509.26,CV Projects SA  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-30,Infrastructure,Other,"Durban - Clairwood Hospital - Alterations and additions to wards C1, C2, FS3,  MS6, MS2, MM1 and OT",Site,232437919.90,1,232437919.90,GVK - Siya Zama Building 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-16,Infrastructure,Other,Scottburgh - G J Crookes Hospital - Alterations and additions to existing wards - Block A,Site,36757495.57,1,36757495.57,RGZ Projects  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-15,Infrastructure,Other,Scottburgh - G J Crookes Hospital - Alterations and additions to existing wards  Block B,Site,96982416.76,1,96982416.76,RGZProjects  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-08,Infrastructure,Other,"Scottburgh - G J Crookes Hospital - Upgrade the roof and plumbing in maternity	ward",Site,30000000.00,1,30000000.00,RGZ Projects  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-15,Infrastructure,Isolation,Dundee - Dundee Hospital - Alterations to two existing wards to create isolation and quarantine wards,Site,28959989.00,1,28959989.00,Siyaxhasana Construction cc 
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-08,Infrastructure,Isolation,Vryheid - Siloah Lutheran Mission Hospital - Upgrade Existing Wards to 11 bed Isolation Ward and upgrade exisiting Nurses Home,Site,52303720.40,1,52303720.40,ENZA Construction  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-08,Infrastructure,Isolation,Ulundi - St Francis Hospital - Upgrade Existing TB Wards to Isolation  Ward and Auxilarary building to Quarantine  Ward,Site,62357466.60,1,62357466.60,ENZA Construction  
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-30,Infrastructure,Other,Durban - Wentworth Hospital - Wentworth Hospital - Alterations and additions to 2 existing Creche buildings and Ward D2,Site,79185198.37,1,79185198.37,GVK - Siya Zama Building
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-07,Infrastructure,Isolation,"Jozini - Mosvold Hospital-Upgrade Existing TB Wards to IsolationWard and upgrade Existing Auxilarary to Quarantine Ward, Fencing and walkways",Site,46008786.18,1,46008786.18,SIQU Group
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-07,Infrastructure,Quarantine,"Jozini - Bethesda Hospital - Upgrade Existing TB Wards to Isolation Ward and upgrade Existing Nurses Accommodation to Quarantine Ward;Fencing, awning and walkways",Site,33559491.84,1,33559491.84,SIQU Group
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-11,Infrastructure,Quarantine,Durban - KZN Infrastructure Maintence Hub - Refurbishment of existing buildings to create Quarantine facility,Site,53400000.00,1,53400000.00,Leomat JJS JV
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-29,Infrastructure,Other,Pietermaritzburg - Royal Agricultural Show Grounds - Temporary conversion of 4 x Exhibition halls and provision of temporary ablution blocks,Site,11000000.00,1,11000000.00,Royal Agricultural Society
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-26,Infrastructure,Quarantine,Durban - KZN EMS College - Refurbishment of Staff Accommodation Phase 1 - Emergency Covid-19 Quarantine Facility,Site,68520872.15,1,68520872.15,Leomat JJS JV
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-03-26,Infrastructure,Quarantine,Niemeyer Mem. Hospital: COVID-19: Alterations and additions to existing wards,Site,41287290.75,1,41287290.75,Lakeshore Trading 102
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-06,Infrastructure,Isolation,Richmond Chest Hospital: COVID-19 Electrical Upgrade,Site,1392808.53,1,1392808.53,Eskom Holdings SOC Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-28,Masks,Masks (Cloth),Face Cloth Mask - 3ply,Single - unit,15.00,50000,750000.00,Botlhokwa Events & Projects
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-28,Masks,Masks (Cloth),Face Cloth Mask - 3ply,Single - unit,14.00,50000,700000.00,Zakhanya Fitness
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-28,Masks,Masks (Cloth),Face Cloth Mask - 3ply,Single - unit,15.00,50000,750000.00,Siba & Turtuse
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-05-28,Masks,Masks (Cloth),Face Cloth Mask - 3ply,Single - unit,16.00,50000,800000.00,Prikell Clothing CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-06-17,Gloves,Gloves: Examination (Latex),Gloves Non-Sterile (S),Box/100,183.00,5000,915000.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-06-17,Gloves,Gloves: Examination (Latex),Gloves Non-Sterile (M),Box/100,183.00,25000,4575000.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-06-17,Gloves,Gloves: Examination (Latex),Gloves Non-Sterile (L),Box/100,183.00,25000,4575000.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-06-19,Gloves,Gloves: Cuff-length High Risk,Gloves Surgical (M),Box/100,409.16,15000,6137400.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-06-19,Gloves,Gloves: Cuff-length High Risk,Gloves Surgical (L),Box/100,409.16,15000,6137400.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-06-23,PPE,Apcoo,Apcoo,Pack /100,15.51,3000,46530.00,Logan Medical Supplies
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-06-29,Gloves,Gloves: Cuff-length High Risk,High Risk Gloves,Boxof50,138.17,7000,967190.00,SA Health Protecting Services CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-07-14,Masks,Mask (Surgical),Mask (Surgical) 3-Ply Disposible,Single,7.98,200000,1596000.00,Power Energy Centre
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-07-14,Masks,Mask {Surgical),Mask {Surgical) 3-Ply Disposible,Single,7.71,200000,1542000.00,Mandelphas Trading
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-07-14,Masks,Mask (Surgical),Mask (Surgical) 3-Ply Disposible,Single,5.70,200000,1140000.00,Nosindilee Construction and Projects
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-07-14,Masks,Mask {Surgical),Mask (Surgical) 3-Ply Disposible,Single,5.00,200000,1000000.00,TBE Security and Cleaning Services
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-07-14,Masks,Mask (Surgical),Mask (Surgical) 3-Ply Disposible,Single,9.80,200000,1960000.00,Platinum Medical and Surgical
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-07-14,Masks,Mask {Surgical),Mask (Surgical) 3-Ply Disposible,Single,8.43,200000,1685900.00,Rodin Logistics
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-07-14,Masks,Mask {Surgical),Mask (Surgical) 3-Ply Disposible,Single,9.53,200000,1906700.00,Andimahle Trading Enterprise
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-24,Infrastructure,Other,"Various Hospitals - Rebuild 10 X400L Autoclaves For COVID-19	Sites In KZN Health Facilities",Equipment,2092778.63,1,2092778.63,Sterilizer Technologies
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-24,Masks,Mask {Surgical),Mask (Surgical) 3-Ply Disposible,Units / Single,11.75,200000,2350000.00,AKSS Projects
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-24,Masks,Mask {Surgical),Mask (Surgical) 3-Ply Disposible,Units / Single,11.75,200000,2350000.00,Coffee Creative Studio
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-24,Masks,Mask {Surgical),Mask (Surgical) 3-Ply Disposible,Units / Single,11.68,200000,2336000.00,Cargro Investment Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-24,Gloves,Gloves: Examination (Latex),Examination Non-Sterile,Box/100,183.00,5000,915000.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-24,Gloves,Gloves: Examination (Latex),Examination Non-Sterile,Box/100,183.00,15000,2745000.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Health,Health,2020-04-24,Gloves,Gloves: Examination (Latex),Examination Non-Sterile,Box/100,183.00,20000,3660000.00,Sebenzani Trading 622 CC
KwaZulu-Natal,KwaZulu-Natal Department of Human Settlements,Human Settlements,2020-03-17,Sanitizers,Disinfectant,Hydrogen Peroxide 30% or Higher,25L,2287.35,200,457470.00,MX Distributors
KwaZulu-Natal,KwaZulu-Natal Department of Human Settlements,Human Settlements,2020-03-17,Sanitizers,Sanitizer,N/A,1L,165.00,1600,264000.00,Clieneve CC
KwaZulu-Natal,KwaZulu-Natal Department of Human Settlements,Human Settlements,2020-04-17,Sanitizers,Sanitizer,N/A,60ml,39.50,8500,335750.00,Clieneve CC
KwaZulu-Natal,KwaZulu-Natal Department of Human Settlements,Human Settlements,2020-05-13,Sanitizers,Soap- Bar,N/A,125g,12.53,91586,1147572.58,lntuthuko Engineering
KwaZulu-Natal,KwaZulu-Natal Department of Human Settlements,Human Settlements,2020-05-26,Cleaning,Decontamination Services,Decontamination of the offices and cars,16 floors and 30 cars,18055.00,1,18055.00,Gateway Pest Services
KwaZulu-Natal,KwaZulu-Natal Department of Human Settlements,Human Settlements,2020-05-26,Masks,Masks (Cloth),Masks,Each,28.75,1448,41630.00,House of Graduates
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-03-26,Sanitizers,Sanitizer,Sanitizers for the Department,500ml,62.10,100,6210.00,Unitrade
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-03-31,Gloves,Gloves,Gloves (medium and Small),Box,47.86,6,287.16,Medi -Core Technologies
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-04-07,Catering,Catering Departmental,Catering for command team,unit,232.48,80,18598.75,Occassion Shiner Catering and Decor
KwaZulu-Natal,KwaZulu-Natal Office of the Premier,Office of the Premier,2020-04-16,Catering,Catering Departmental,Catering for command team,unit,216.58,80,17326.50,Occassion Shiner Catering and Decor
