buyer_name,implementation_location_other,supplier_name,items_description,invoice_number,invoice_date,procurement_method,items_quantity,Unit of Measure,cost_per_unit_zar,order_amount_zar
Department of Home Affairs (DHA),Head Office (Property,Motheo W Rona,Mask,AI-601721,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,box of 100,55.00,110000.00
Department of Home Affairs (DHA),Head Office (Property,Baju,Sanitisers,Acceptance letter,2020-03-23,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,20,25 Litres,2750.00,55000.00
Department of Home Affairs (DHA),Head Office (Property,Baju,Sanitisers,Acceptance letter,2020-04-07,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,15,25 Litres,2750.00,47437.50
Department of Home Affairs (DHA),Head Office (Property,Baju,Disinfectants,Acceptance letter,2020-03-23,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,3000,500 ml,55.99,167970.00
Department of Home Affairs (DHA),Head Office (Property,Baju,Disinfectants,Acceptance letter,2020-03-23,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1100,500 ml,55.99,70827.35
Department of Home Affairs (DHA),Head Office (Property,Universal Safety Products,Mask - Other (Head Office),AI-601756,2020-04-03,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,30000,box of 400,20.64,619275.00
Department of Home Affairs (DHA),Head Office (Property,Baju,Sanitisers (Head Office),Acceptance letter,2020-03-24,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,8000,25 Litres,2750.00,55000.00
Department of Home Affairs (DHA),Head Office (Property,Baju,Disinfectants (Head Office),Acceptance letter,2020-03-24,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,67000,500ml bottle,55.99,167970.00
Department of Home Affairs (DHA),Head Office (Property,Baju,Sanitisers (Head Office),AI-601 671,2020-04-07,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,3500,25 Litres,2750.00,41250.00
Department of Home Affairs (DHA),Head Office (Property,Baju Logistics,Hand sanitizers,Al-601759,2020-04-07,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,15,25 Litres,3162.47,47437.00
Department of Home Affairs (DHA),Head Office (Property,Baju Logistics,All surface disinfectant,Al-601759,2020-04-07,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1100,500 ml,64.39,70827.85
Department of Home Affairs (DHA),Head Office (Property,Goldstone,Digital body thermometer,AI-601765,2020-05-05,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,460,Each,1800.00,828000.00
Department of Home Affairs (DHA),Head Office (Property,Manone Trading,Faceshield,AI-601741,2020-05-06,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,5000,Each,79.00,395000.00
Department of Home Affairs (DHA),Head Office (Property,Manone Trading,Faceshield,AI-601767,2020-05-06,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,7000,Each,79.00,553000.00
Department of Home Affairs (DHA),Head Office (Property,BAJU Cleaning Chemicals,Hand sanitizers,AI-601728,2020-04-29,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,150,Litres,1320.00,228400.00
Department of Home Affairs (DHA),Head Office (Property,COHORT Trading,BOXES OF GLOVES,AI-601770,2020-06-04,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,8000,Box of 100,99.00,792000.00
Department of Home Affairs (DHA),Head Office (Property,Shionisani,PROCURMENT OF FACESHIELD MASKS,AI-601740,2020-05-06,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,6000,each,69.00,476100.00
Department of Home Affairs (DHA),Head Office (Property,SIYAZIWA PROJECTS,12 000 CLOTH MASK REUSABLE,AI-601769,2020-05-12,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,12000,each,23.50,282000.00
Department of Home Affairs (DHA),Head Office (Property,Mediwaste Packaging (Facilities),Digital Body Thermometer,IA-601766,2020-05-06,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,460,each,1380.00,634800.00
Department of Home Affairs (DHA),Head Office : DDG:FIN,CLEANING WAREHOUSE,SANITIZING WIPES BUCKET,Petty Cash,2020-07-31,Petty Cash,2,500 SHEETS,358.00,715.99
Department of Home Affairs (DHA),Head Office (IMS),Gomvrich PTY LTD,Duct Tapes,OR-109723,2020-07-15,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1000,Each,128.50,128500.00
Department of Home Affairs (DHA),Head Office (IMS),Matema Trading,Sanitisers (IMS),AI-601723,2020-03-27,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,9100,500ml,113.85,1036035.00
Department of Home Affairs (DHA),Head Office (IMS),Reka Moka,Hand Sanitizers,OR-109584,2020-03-19,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1500,Each,110.95,166425.00
Department of Home Affairs (DHA),Head Office (IMS),Masana Clothing,Cloth Masks,0R-109621,2020-05-25,Treasury Contract List,5000,Each,26.35,131750.00
Department of Home Affairs (DHA),Head Office (IMS),Lechoba Medical Technologies,Face Shields,OR-109620,2020-05-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,4400,Each,57.49,252956.00
Department of Home Affairs (DHA),Head Office (IMS),Biological,Thermometers,OR-109672,2020-06-30,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,80,Each,1499.00,119920.00
Department of Home Affairs (DHA),Head Office (IMS),Masana Clothing,Cloth Masks,OR-109668,2020-07-01,Treasury Contract List,5000,Each,26.35,131750.00
Department of Home Affairs (DHA),Head Office (IMS),Gomvrich PTY LTD,Duct Tapes,OR-109723,2020-07-15,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1000,Each,128.50,128500.00
Department of Home Affairs (DHA),Head Office (IMS),TCI 1 Solution,MASKS,OR-109469,2020-02-10,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,8000,box of 100,2.13,17040.00
Department of Home Affairs (DHA),Head Office (IMS),TCI 1 Solution,GLOVES,OR-109469,2020-02-10,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,80,box of 100,136.00,10880.00
Department of Home Affairs (DHA),Head Office (IMS),TCI 1 Solution,GLOVES,OR-109529,2020-02-28,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,670,box of 100,130.00,87100.00
Department of Home Affairs (DHA),Head Office (IMS),TCI 1 Solution,MASKS,OR-109529,2020-02-28,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,35000,box of 100,5.50,192500.00
Department of Home Affairs (DHA),Head Office (IMS),AGNES TRADING,SANITIZERS,OR-109561,2020-03-10,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,25200,500ml,9.65,243250.00
Department of Home Affairs (DHA),Head Office (IMS),MOTHEO WA RONA TRADING,GLOVES,OR-109583,2020-03-19,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,91,box of 100,692.31,63000.21
Department of Home Affairs (DHA),Head Office (IMS),HENRY SCHEIN DENTAL WAREHOUSE,GLOVES,AI-601758,2020-04-08,Treasury contract list,1000,box of 100,124.03,124030.00
Department of Home Affairs (DHA),KwaZulu Natal,PERFECT PPE,Mask,Petty Cash,2020-03-26,Petty Cash,10,each,25.00,250.00
Department of Home Affairs (DHA),KwaZulu Natal,ORION AGENCIES,Mask,AI-601757,2020-04-07,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,500,box of 50,992.00,496000.00
Department of Home Affairs (DHA),KwaZulu Natal,Coastal Farmers,Mask,Petty Cash,2020-03-23,Petty Cash,20,box,10.00,200.00
Department of Home Affairs (DHA),KwaZulu Natal,OSMANS WHOLESALERS,Mask,Petty Cash,2020-04-09,Petty Cash,50,box,16.00,800.00
Department of Home Affairs (DHA),KwaZulu Natal,ARISE BRANDING,Mask,Petty Cash,2020-04-12,Petty Cash,20,box,15.00,300.00
Department of Home Affairs (DHA),KwaZulu Natal,ORION AGENCIES,Gloves,AI-601757,2020-04-07,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,500,Box of 100,320.00,160000.00
Department of Home Affairs (DHA),KwaZulu Natal,City Max Home,Gloves,Petty Cash,2020-03-27,Petty Cash,1,Box of 100,180.00,180.00
Department of Home Affairs (DHA),KwaZulu Natal,Pongola Plaza Pharmacy,Gloves,Petty Cash,2020-03-26,Petty Cash,2,Box of 100,115.00,230.00
Department of Home Affairs (DHA),KwaZulu Natal,City Max Home,Gloves,Petty Cash,2020-03-23,Petty Cash,1,Box of 100,80.00,80.00
Department of Home Affairs (DHA),KwaZulu Natal,LINK CHEMIST,Gloves,Petty Cash,2020-03-17,Petty Cash,2,Box of 100,165.00,330.00
Department of Home Affairs (DHA),KwaZulu Natal,MAKRO,Gloves,Petty Cash,2020-03-17,Petty Cash,1,Box of 100,400.00,400.00
Department of Home Affairs (DHA),KwaZulu Natal,SCOTTBURGH DAY & NITE PHARMACY,Gloves,Petty Cash,2020-03-19,Petty Cash,1,Box of 100,140.00,140.00
Department of Home Affairs (DHA),KwaZulu Natal,PEOPLES PHARMACY,Gloves,Petty Cash,2020-03-17,Petty Cash,6,box of 100,65.00,390.00
Department of Home Affairs (DHA),KwaZulu Natal,A5 CASH 7 CARRY,Gloves,Petty Cash,2020-03-09,Petty Cash,1,box of 50,38.00,38.00
Department of Home Affairs (DHA),KwaZulu Natal,LINK CHEMIST,Gloves,Petty Cash,2020-04-02,Petty Cash,2,Box of 100,165.00,330.00
Department of Home Affairs (DHA),KwaZulu Natal,ESTCOURT SHOP,Gloves,Petty Cash,2020-04-03,Petty Cash,1,Box of 100,215.00,215.00
Department of Home Affairs (DHA),KwaZulu Natal,ALLENCO MEDICAL & DENTAL SUPPLIES CC,Sanitisers,AI-601753,2020-04-04,Treasury Contract List,750,500ml,103.50,77625.00
Department of Home Affairs (DHA),KwaZulu Natal,BUILD IT  HARDWARE,Sanitisers,Petty Cash,2020-03-26,Petty Cash,6,bottle,100.00,600.00
Department of Home Affairs (DHA),KwaZulu Natal,LADYSMITH PHARMACY,Sanitisers,Petty Cash,2020-03-31,Petty Cash,2,bottle,35.00,70.00
Department of Home Affairs (DHA),KwaZulu Natal,MACKSONS  HYPER ZONE,Sanitisers,Petty Cash,2020-03-25,Petty Cash,1,bottle,180.00,180.00
Department of Home Affairs (DHA),KwaZulu Natal,MACKSONS  HYPER ZONE,Sanitisers,Petty Cash,2020-03-26,Petty Cash,1,bottle,200.00,200.00
Department of Home Affairs (DHA),KwaZulu Natal,MOOSA'S DISCOUNT,Sanitisers,Petty Cash,2020-03-26,Petty Cash,1,bottle,120.00,120.00
Department of Home Affairs (DHA),KwaZulu Natal,MULTI SAVE,Sanitisers,Petty Cash,2020-04-15,Petty Cash,7,bottle,64.29,450.00
Department of Home Affairs (DHA),KwaZulu Natal,PICK N PAY,Sanitisers,Petty Cash,2020-04-15,Petty Cash,2,bottle,55.00,110.00
Department of Home Affairs (DHA),KwaZulu Natal,TCC CHEMICALS,Sanitisers,Petty Cash,2020-04-22,Petty Cash,3,bottle,75.00,225.00
Department of Home Affairs (DHA),KwaZulu Natal,PICK N PAY,Sanitisers,Petty Cash,2020-04-15,Petty Cash,12,bottle,56.67,680.00
Department of Home Affairs (DHA),KwaZulu Natal,SPAR,Sanitisers,Petty Cash,2020-04-21,Petty Cash,4,bottle,69.75,279.00
Department of Home Affairs (DHA),KwaZulu Natal,KRIKO HOUSEHOLD DETERGENTS,Sanitisers,Petty Cash,2020-03-17,Petty Cash,1,1 LITER,70.00,70.00
Department of Home Affairs (DHA),KwaZulu Natal,KRIKO HOUSEHOLD DETERGENTS,Sanitisers,Petty Cash,2020-03-17,Petty Cash,2,1 LITER,20.00,40.00
Department of Home Affairs (DHA),KwaZulu Natal,KRIKO HOUSEHOLD DETERGENTS,Sanitisers,Petty Cash,2020-03-17,Petty Cash,2,1 LITER,70.00,140.00
Department of Home Affairs (DHA),KwaZulu Natal,Home Hub,Sanitisers,Petty Cash,2020-03-27,Petty Cash,1,1.75 litre,120.00,120.00
Department of Home Affairs (DHA),KwaZulu Natal,EVERLASTING PRODUCTS,Sanitisers,Petty Cash,2020-03-17,Petty Cash,26,120ML,30.00,780.00
Department of Home Affairs (DHA),KwaZulu Natal,Mtuba Pharmacy,Sanitisers,Petty Cash,2020-03-27,Petty Cash,1,200ml,120.00,120.00
Department of Home Affairs (DHA),KwaZulu Natal,Pongola Plaza Pharmacy,Sanitisers,Petty Cash,2020-03-26,Petty Cash,2,Sanitiser 250 ml,60.00,120.00
Department of Home Affairs (DHA),KwaZulu Natal,Game Store,Sanitisers,Petty Cash,2020-03-28,Petty Cash,56,300ml,33.93,1900.00
Department of Home Affairs (DHA),KwaZulu Natal,SAVMOR CASH&CARRY,Sanitisers,Petty Cash,2020-03-16,Petty Cash,3,5 litre,400.00,1200.00
Department of Home Affairs (DHA),KwaZulu Natal,DB Cleaning,Sanitisers,Petty Cash,2020-03-25,Petty Cash,1,5 litre,370.00,370.00
Department of Home Affairs (DHA),KwaZulu Natal,PETTY CASH-INGAMKHULULI PROJECTS,Sanitisers,Petty Cash,2020-04-02,Petty Cash,4,5 LITRE,400.00,1600.00
Department of Home Affairs (DHA),KwaZulu Natal,SAV More,Sanitisers,Petty Cash,2020-04-03,Petty Cash,20,500 ml,99.00,1980.00
Department of Home Affairs (DHA),KwaZulu Natal,CYBERCHEM,Sanitisers,Petty Cash,2020-03-17,Petty Cash,2,5 LITRE,400.00,800.00
Department of Home Affairs (DHA),KwaZulu Natal,SCOTTBURGH DAY & NITE PHARMACY,Sanitisers,Petty Cash,2020-03-19,Petty Cash,4,800ML,120.75,483.00
Department of Home Affairs (DHA),KwaZulu Natal,PALMER AGRICULTURE & TRACTOR SUPPLIERS,Sanitisers,Petty Cash,2020-04-17,Petty Cash,4,5 LITRE,225.00,900.00
Department of Home Affairs (DHA),KwaZulu Natal,Qualchem,Sanitisers,Petty Cash,2020-03-10,Petty Cash,1,5 LITRE,200.00,200.00
Department of Home Affairs (DHA),KwaZulu Natal,Qualchem,Sanitisers,Petty Cash,2020-03-16,Petty Cash,5,5 LITRE,190.00,950.00
Department of Home Affairs (DHA),KwaZulu Natal,PROMED TECHNOLOGIES,Disinfectants,AI-601752,2020-04-01,Treasury Contract List,384,5 litres,90.00,34560.00
Department of Home Affairs (DHA),KwaZulu Natal,SARADOX FACTORY SHOP,Disinfectants,Petty Cash,2020-03-18,Petty Cash,1,5 LITRE,400.00,400.00
Department of Home Affairs (DHA),KwaZulu Natal,SUPER SPAR,BAR SOAPS,Petty Cash,2020-03-17,Petty Cash,5,each,12.60,63.00
Department of Home Affairs (DHA),KwaZulu Natal,SHOPRITE,BARSOAP DETTOL,Petty Cash,2020-03-28,Petty Cash,4,each,8.75,35.00
Department of Home Affairs (DHA),KwaZulu Natal,Coastal Farmers,EMPTY Containers  2 litres,Petty Cash,2020-03-23,Petty Cash,1,2 LITRE,180.00,180.00
Department of Home Affairs (DHA),KwaZulu Natal,Royal Cash & Carry -,EMPTY Containers for Sanitiser,Petty Cash,2020-03-30,Petty Cash,2,bottle,40.00,80.00
Department of Home Affairs (DHA),KwaZulu Natal,SARAHS CD,EMPTY SPRAY BOTTLES,Petty Cash,2020-03-26,Petty Cash,4,bottle,25.00,100.00
Department of Home Affairs (DHA),KwaZulu Natal,Qualchem,EMPTY spray bottles and tops,Petty Cash,2020-03-10,Petty Cash,6,bottle,20.00,120.00
Department of Home Affairs (DHA),KwaZulu Natal,NORTH SAFETY PRODUCTS,HAND SOAP - 1 LITRE EACH,Petty Cash,2020-04-17,Petty Cash,4,1 LITRE,112.00,448.00
Department of Home Affairs (DHA),KwaZulu Natal,Qualchem,Sani Wipes 1000's,Petty Cash,2020-03-10,Petty Cash,2,pack,370.00,740.00
Department of Home Affairs (DHA),KwaZulu Natal,SHOPRITE,WIPES,Petty Cash,2020-03-27,Petty Cash,2,pack,30.00,60.00
Department of Home Affairs (DHA),KwaZulu Natal,ALLENCO MEDICAL & DENTAL SUPPLIES CC,SANITISERS,KZ-013034,2020-05-19,Treasury Contract List,100,25 LITRE,1610.00,161000.00
Department of Home Affairs (DHA),KwaZulu Natal,ZAKHANYA FITNESS,CLOTH MASKS,KZ-013057,2020-05-19,TREASURY APPROVED SMALL BUSINESS SUPPLIER,1300,1,18.00,23400.00
Department of Home Affairs (DHA),KwaZulu Natal,EVERGREEN LATEX,GLOVES,KZ-013042,2020-05-19,Treasury Contract List,1000,100,49.86,49860.00
Department of Home Affairs (DHA),KwaZulu Natal,PROMED TECHNOLOGIES,DISINFECTANT,KZ-013035,2020-05-19,Treasury Contract List,800,5 litres,90.00,72000.00
Department of Home Affairs (DHA),KwaZulu Natal,MICA,Battery AAA,Petty cash,2020-05-10,Petty cash,3,4pk,79.99,239.97
Department of Home Affairs (DHA),KwaZulu Natal,SUPERSPAR,"Soap,h/wash",Petty cash,2020-05-04,Petty cash,3,"400ml,175gr",78.97,78.97
Department of Home Affairs (DHA),KwaZulu Natal,FACTORY SHOP SUPPLIER,Spray bottles,Petty cash,2020-05-19,Petty cash,2,2pc,20.00,40.00
Department of Home Affairs (DHA),KwaZulu Natal,TCC CHEMICALS,Sanitizer,Petty cash,2020-05-19,Petty cash,5,1lt,31.00,155.00
Department of Home Affairs (DHA),KwaZulu Natal,ValueCity Wholesalers cc,Spray bottles,Petty cash,2020-05-19,Petty cash,5,24cm,23.54,117.71
Department of Home Affairs (DHA),KwaZulu Natal,Escourt Build It,Sanitizer,Petty cash,2020-05-19,Petty cash,5,,39.96,199.80
Department of Home Affairs (DHA),KwaZulu Natal,City Max,Disposable Gloves,Petty cash,2020-07-15,Petty cash,1,Box,80.00,80.00
Department of Home Affairs (DHA),KwaZulu Natal,Coastals,"Sprayer,Mask dust",Petty cash,2020-07-15,Petty cash,1,2lt,522.30,522.30
Department of Home Affairs (DHA),KwaZulu Natal,Mtuba Phamacy,Hand Sanitiser Pump,Petty cash,2020-07-15,Petty cash,1,200ml,119.90,119.90
Department of Home Affairs (DHA),KwaZulu Natal,Game,Duracell Battery,Petty cash,2020-07-15,Petty cash,1,1,84.99,84.99
Department of Home Affairs (DHA),KwaZulu Natal,E-Max Home,Spray bottles,Petty cash,2020-07-15,Petty cash,4,450ml,29.00,116.00
Department of Home Affairs (DHA),KwaZulu Natal,Makro,Gloves,Petty cash,2020-05-11,Petty cash,1,12pck,86.96,100.00
Department of Home Affairs (DHA),KwaZulu Natal,Family Express,Duracell Plus  Battery AAA,Petty cash,2020-05-11,Petty cash,6,,9.98,56.98
Department of Home Affairs (DHA),KwaZulu Natal,Division of Pepkor trading,Energizer(battery),Petty cash,2020-06-25,Petty cash,1,,44.99,44.99
Department of Home Affairs (DHA),KwaZulu Natal,Woolworths,Energizer(battery),Petty cash,2020-05-27,Petty cash,1,,149.90,149.90
Department of Home Affairs (DHA),KwaZulu Natal,ROYLOND PTY LTD,16 LITRE BACKPACK SPRAYERS,KZ-013053,2020-06-10,CSD PROCESS,85,1,698.75,59393.75
Department of Home Affairs (DHA),KwaZulu Natal,DARADA TRADING & PROJECTS,CLEANING SERVICE - EMONDLO,KZ-013072,2020-07-28,CSD PROCESS,3,Months,13050.00,39150.00
Department of Home Affairs (DHA),KwaZulu Natal,MSONTOS GROUP,CLEANING SERVICE - HLABISA,KZ-013073,2020-07-28,CSD PROCESS,3,Months,7999.68,23999.04
Department of Home Affairs (DHA),KwaZulu Natal,BH LEGACY,CLEANING SERVICE - MBAZWANA,KZ-013074,2020-07-30,CSD PROCESS,3,Months,8908.00,26724.00
Department of Home Affairs (DHA),KwaZulu Natal,MKLG GROUP,CLEANING SERVICE - UBOMBO,KZ-013080,2020-07-29,CSD PROCESS,3,Months,10000.00,30000.00
Department of Home Affairs (DHA),KwaZulu Natal,UBUCUBU HOME INDUSTRIES,3 LAYER CLOTH MASKS,KZ-013081,2020-07-30,TREASURY APPROVED SMALL BUSINESS SUPPLIER,642,1,20.00,12840.00
Department of Home Affairs (DHA),KwaZulu Natal,SIPHIWENONKOSI CLEANING SERVICES,CLEANING SERVICE - ESIKHAWINI,KZ-013082,2020-07-30,CSD PROCESS,3,Months,10000.00,30000.00
Department of Home Affairs (DHA),KwaZulu Natal,LAKE TETE TRADING AND PROJECTS,CLEANING SERVICE - JOZINI,KZ-013083,2020-07-30,CSD PROCESS,3,Months,9000.00,27000.00
Department of Home Affairs (DHA),KwaZulu Natal,TAP TAP TRADING & PROJECT,CLEANING SERVICE - KWANGWANASE,KZ-013084,2020-07-30,CSD PROCESS,3,Months,8050.00,24150.00
Department of Home Affairs (DHA),KwaZulu Natal,SKITTERBLINK CLEANING SERVICES,DEEP CLEANING - VRYHEID,KZ-013027,2020-04-15,CSD PROCESS,1,1,14973.58,14973.58
