"",Head Office (IMS),Matema Trading,Sanitisers (IMS),AI-601723,27/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,9100,500ml,R113.85,"R1,036,035.00"
"",Head Office (IMS),Reka Moka,Hand Sanitizers,OR-109584,19/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1500,Each,R110.95,"R166,425.00"
"",Head Office (IMS),Masana Clothing,Cloth Masks,0R-109621,25/05/2020,Treasury Contract List,5000,Each,R26.35,"R131,750.00"
"",Head Office (IMS),Lechoba Medical Technologies,Face Shields,OR-109620,26/05/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,4400,Each,R57.49,"R252,956.00"
"",Head Office (IMS),Biological,Thermometers,OR-109672,30/06/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,80,Each,"R1,499.00","R119,920.00"
"",Head Office (IMS),Masana Clothing,Cloth Masks,OR-109668,01/07/2020,Treasury Contract List,5000,Each,R26.35,"R131,750.00"
"",Head Office (IMS),Gomvrich PTY LTD,Duct Tapes,OR-109723,15/07/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,1000,Each,R128.50,"R128,500.00"
"",Head Office (IMS),TCI 1 Solution,MASKS,OR-109469,10/02/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,8000,box of 100,R2.13,"R17,040.00"
"",Head Office (IMS),TCI 1 Solution,GLOVES,OR-109469,10/02/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,80,box of 100,R136.00,"R10,880.00"
"",Head Office (IMS),TCI 1 Solution,GLOVES,OR-109529,28/02/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,670,box of 100,R130.00,"R87,100.00"
"",Head Office (IMS),TCI 1 Solution,MASKS,OR-109529,28/02/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,35000,box of 100,R5.50,"R192,500.00"
"",Head Office (IMS),AGNES TRADING,SANITIZERS,OR-109561,10/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,25200,500ml,R9.65,"R243,250.00"
"",Head Office (IMS),MOTHEO WA RONA TRADING,GLOVES,OR-109583,19/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,91,box of 100,R692.31,"R63,000.21"
"",Head Office (IMS),HENRY SCHEIN DENTAL WAREHOUSE,GLOVES,AI-601758,08/04/2020,Treasury contract list,1000,box of 100,R124.03,"R124,030.00"
"",KwaZulu Natal,PERFECT PPE,Mask,Petty Cash,26/03/2020,Petty Cash,10,each,R25.00,R250.00
"",KwaZulu Natal,ORION AGENCIES,Mask,AI-601757,07/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,500,box of 50,R992.00,"R496,000.00"
"",KwaZulu Natal,Coastal Farmers,Mask,Petty Cash,23/03/2020,Petty Cash,20,box,R10.00,R200.00
"",KwaZulu Natal,OSMANS WHOLESALERS,Mask,Petty Cash,09/04/2020,Petty Cash,50,box,R16.00,R800.00
"",KwaZulu Natal,ARISE BRANDING,Mask,Petty Cash,12/04/2020,Petty Cash,20,box,R15.00,R300.00
"",KwaZulu Natal,ORION AGENCIES,Gloves,AI-601757,07/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,500,Box of 100,R320.00,"R160,000.00"
"",KwaZulu Natal,City Max Home,Gloves,Petty Cash,27/3/2020,Petty Cash,1,Box of 100,R180.00,R180.00
"",KwaZulu Natal,Pongola Plaza Pharmacy,Gloves,Petty Cash,26/3/2020,Petty Cash,2,Box of 100,R115.00,R230.00
"",KwaZulu Natal,City Max Home,Gloves,Petty Cash,23/3/2020,Petty Cash,1,Box of 100,R80.00,R80.00
"",KwaZulu Natal,LINK CHEMIST,Gloves,Petty Cash,17/3/2020,Petty Cash,2,Box of 100,R165.00,R330.00
"",KwaZulu Natal,MAKRO,Gloves,Petty Cash,17/3/2020,Petty Cash,1,Box of 100,R400.00,R400.00
"",KwaZulu Natal,SCOTTBURGH DAY & NITE PHARMACY,Gloves,Petty Cash,19/3/2020,Petty Cash,1,Box of 100,R140.00,R140.00
"",KwaZulu Natal,PEOPLES PHARMACY,Gloves,Petty Cash,17/3/2020,Petty Cash,6,box of 100,R65.00,R390.00
"",KwaZulu Natal,A5 CASH 7 CARRY,Gloves,Petty Cash,9/3/2020,Petty Cash,1,box of 50,R38.00,R38.00
"",KwaZulu Natal,LINK CHEMIST,Gloves,Petty Cash,2/4/2020,Petty Cash,2,Box of 100,R165.00,R330.00
"",KwaZulu Natal,ESTCOURT SHOP,Gloves,Petty Cash,3/4/2020,Petty Cash,1,Box of 100,R215.00,R215.00
"",KwaZulu Natal,ALLENCO MEDICAL & DENTAL SUPPLIES CC,Sanitisers,AI-601753,4/4/2020,Treasury Contract List,750,500ml,R103.50,"R77,625.00"
"",KwaZulu Natal,BUILD IT  HARDWARE,Sanitisers,Petty Cash,26/3/2020,Petty Cash,6,bottle,R100.00,R600.00
"",KwaZulu Natal,LADYSMITH PHARMACY,Sanitisers,Petty Cash,31/3/2020,Petty Cash,2,bottle,R35.00,R70.00
"",KwaZulu Natal,MACKSONS  HYPER ZONE,Sanitisers,Petty Cash,25/3/2020,Petty Cash,1,bottle,R180.00,R180.00
"",KwaZulu Natal,MACKSONS  HYPER ZONE,Sanitisers,Petty Cash,26/3/2020,Petty Cash,1,bottle,R200.00,R200.00
"",KwaZulu Natal,MOOSA'S DISCOUNT,Sanitisers,Petty Cash,26/3/2020,Petty Cash,1,bottle,R120.00,R120.00
"",KwaZulu Natal,MULTI SAVE,Sanitisers,Petty Cash,15/4/2020,Petty Cash,7,bottle,R64.29,R450.00
"",KwaZulu Natal,PICK N PAY,Sanitisers,Petty Cash,15/4/2020,Petty Cash,2,bottle,R55.00,R110.00
"",KwaZulu Natal,TCC CHEMICALS,Sanitisers,Petty Cash,22/4/2020,Petty Cash,3,bottle,R75.00,R225.00
"",KwaZulu Natal,PICK N PAY,Sanitisers,Petty Cash,15/4/2020,Petty Cash,12,bottle,R56.67,R680.00
"",KwaZulu Natal,SPAR,Sanitisers,Petty Cash,21/4/2020,Petty Cash,4,bottle,R69.75,R279.00
"",KwaZulu Natal,KRIKO HOUSEHOLD DETERGENTS,Sanitisers,Petty Cash,17/3/2020,Petty Cash,1,1 LITER,R70.00,R70.00
"",KwaZulu Natal,KRIKO HOUSEHOLD DETERGENTS,Sanitisers,Petty Cash,17/3/2020,Petty Cash,2,1 LITER,R20.00,R40.00
"",KwaZulu Natal,KRIKO HOUSEHOLD DETERGENTS,Sanitisers,Petty Cash,17/3/2020,Petty Cash,2,1 LITER,R70.00,R140.00
"",KwaZulu Natal,Home Hub,Sanitisers,Petty Cash,27/3/2020,Petty Cash,1,1.75 litre,R120.00,R120.00
"",KwaZulu Natal,EVERLASTING PRODUCTS,Sanitisers,Petty Cash,17/3/2020,Petty Cash,26,120ML,R30.00,R780.00
"",KwaZulu Natal,Mtuba Pharmacy,Sanitisers,Petty Cash,27/3/2020,Petty Cash,1,200ml,R120.00,R120.00
"",KwaZulu Natal,Pongola Plaza Pharmacy,Sanitisers,Petty Cash,26/3/2020,Petty Cash,2,Sanitiser 250 ml,R60.00,R120.00
"",KwaZulu Natal,Game Store,Sanitisers,Petty Cash,28/3/2020,Petty Cash,56,300ml,R33.93,"R1,900.00"
"",KwaZulu Natal,SAVMOR CASH&CARRY,Sanitisers,Petty Cash,16/3/2020,Petty Cash,3,5 litre,R400.00,"R1,200.00"
"",KwaZulu Natal,DB Cleaning,Sanitisers,Petty Cash,25/3/2020,Petty Cash,1,5 litre,R370.00,R370.00
"",KwaZulu Natal,PETTY CASH-INGAMKHULULI PROJECTS,Sanitisers,Petty Cash,2/4/2020,Petty Cash,4,5 LITRE,R400.00,"R1,600.00"
"",KwaZulu Natal,SAV More,Sanitisers,Petty Cash,3/4/2020,Petty Cash,20,500 ml,R99.00,"R1,980.00"
"",KwaZulu Natal,CYBERCHEM,Sanitisers,Petty Cash,17/3/2020,Petty Cash,2,5 LITRE,R400.00,R800.00
"",KwaZulu Natal,SCOTTBURGH DAY & NITE PHARMACY,Sanitisers,Petty Cash,19/3/2020,Petty Cash,4,800ML,R120.75,R483.00
"",KwaZulu Natal,PALMER AGRICULTURE & TRACTOR SUPPLIERS,Sanitisers,Petty Cash,17/4/2020,Petty Cash,4,5 LITRE,R225.00,R900.00
"",KwaZulu Natal,Qualchem,Sanitisers,Petty Cash,10/3/2020,Petty Cash,1,5 LITRE,R200.00,R200.00
"",KwaZulu Natal,Qualchem,Sanitisers,Petty Cash,16/3/2020,Petty Cash,5,5 LITRE,R190.00,R950.00
"",KwaZulu Natal,PROMED TECHNOLOGIES,Disinfectants,AI-601752,1/4/2020,Treasury Contract List,384,5 litres,R90.00,"R34,560.00"
"",KwaZulu Natal,SARADOX FACTORY SHOP,Disinfectants,Petty Cash,18/3/2020,Petty Cash,1,5 LITRE,R400.00,R400.00
"",KwaZulu Natal,SUPER SPAR,BAR SOAPS,Petty Cash,17/3/2020,Petty Cash,5,each,R12.60,R63.00
"",KwaZulu Natal,SHOPRITE,BARSOAP DETTOL,Petty Cash,28/3/2020,Petty Cash,4,each,R8.75,R35.00
"",KwaZulu Natal,Coastal Farmers,EMPTY Containers  2 litres,Petty Cash,23/3/2020,Petty Cash,1,2 LITRE,R180.00,R180.00
"",KwaZulu Natal,Royal Cash & Carry -,EMPTY Containers for Sanitiser,Petty Cash,30/3/2020,Petty Cash,2,bottle,R40.00,R80.00
"",KwaZulu Natal,SARAHS CD,EMPTY SPRAY BOTTLES,Petty Cash,26/3/2020,Petty Cash,4,bottle,R25.00,R100.00
"",KwaZulu Natal,Qualchem,EMPTY spray bottles and tops,Petty Cash,10/3/2020,Petty Cash,6,bottle,R20.00,R120.00
"",KwaZulu Natal,NORTH SAFETY PRODUCTS,HAND SOAP - 1 LITRE EACH,Petty Cash,17/4/2020,Petty Cash,4,1 LITRE,R112.00,R448.00
"",KwaZulu Natal,Qualchem,Sani Wipes 1000's,Petty Cash,10/3/2020,Petty Cash,2,pack,R370.00,R740.00
"",KwaZulu Natal,SHOPRITE,WIPES,Petty Cash,27/3/2020,Petty Cash,2,pack,R30.00,R60.00
"",KwaZulu Natal,ALLENCO MEDICAL & DENTAL SUPPLIES CC,SANITISERS,KZ-013034,19/05/2020,Treasury Contract List,100,25 LITRE,"R1,610.00","R161,000.00"
"",KwaZulu Natal,ZAKHANYA FITNESS,CLOTH MASKS,KZ-013057,19/05/2020,TREASURY APPROVED SMALL BUSINESS SUPPLIER,1300,1,R18.00,"R23,400.00"
"",KwaZulu Natal,EVERGREEN LATEX,GLOVES,KZ-013042,19/05/2020,Treasury Contract List,1000,100,R49.86,"R49,860.00"
"",KwaZulu Natal,PROMED TECHNOLOGIES,DISINFECTANT,KZ-013035,19/05/2020,Treasury Contract List,800,5 litres,R90.00,"R72,000.00"
"",KwaZulu Natal,MICA,Battery AAA,Petty cash,10/05/2020,Petty cash,3,4pk,R79.99,R239.97
"",KwaZulu Natal,SUPERSPAR,"Soap,h/wash",Petty cash,04/05/2020,Petty cash,3,"400ml,175gr",R78.97,R78.97
"",KwaZulu Natal,FACTORY SHOP SUPPLIER,Spray bottles,Petty cash,19/05/2020,Petty cash,2,2pc,R20.00,R40.00
"",KwaZulu Natal,TCC CHEMICALS,Sanitizer,Petty cash,19/05/2020,Petty cash,5,1lt,R31.00,R155.00
"",KwaZulu Natal,ValueCity Wholesalers cc,Spray bottles,Petty cash,19/05/2020,Petty cash,5,24cm,R23.54,R117.71
"",KwaZulu Natal,Escourt Build It,Sanitizer,Petty cash,19/05/2020,Petty cash,5,,R39.96,R199.80
"",KwaZulu Natal,City Max,Disposable Gloves,Petty cash,15/07/2020,Petty cash,1,Box,R80.00,R80.00
"",KwaZulu Natal,Coastals,"Sprayer,Mask dust",Petty cash,15/07/2020,Petty cash,1,2lt,R522.30,R522.30
"",KwaZulu Natal,Mtuba Phamacy,Hand Sanitiser Pump,Petty cash,15/07/2020,Petty cash,1,200ml,R119.90,R119.90
"",KwaZulu Natal,Game,Duracell Battery,Petty cash,15/07/2020,Petty cash,1,1,R84.99,R84.99
"",KwaZulu Natal,E-Max Home,Spray bottles,Petty cash,15/07/2020,Petty cash,4,450ml,R29.00,R116.00
"",KwaZulu Natal,Makro,Gloves,Petty cash,11/05/2020,Petty cash,1,12pck,R86.96,R100.00
"",KwaZulu Natal,Family Express,Duracell Plus  Battery AAA,Petty cash,11/05/2020,Petty cash,6,,R9.98,R56.98
"",KwaZulu Natal,Division of Pepkor trading,Energizer(battery),Petty cash,25/06/2020,Petty cash,1,,R44.99,R44.99
"",KwaZulu Natal,Woolworths,Energizer(battery),Petty cash,27/05/2020,Petty cash,1,,R149.90,R149.90
"",KwaZulu Natal,ROYLOND PTY LTD,16 LITRE BACKPACK SPRAYERS,KZ-013053,10/06/2020,CSD PROCESS,85,1,R698.75,"R59,393.75"
"",KwaZulu Natal,DARADA TRADING & PROJECTS,CLEANING SERVICE - EMONDLO,KZ-013072,28/07/2020,CSD PROCESS,3,Months,"R13,050.00","R39,150.00"
"",KwaZulu Natal,MSONTOS GROUP,CLEANING SERVICE - HLABISA,KZ-013073,28/07/2020,CSD PROCESS,3,Months,"R7,999.68","R23,999.04"
"",KwaZulu Natal,BH LEGACY,CLEANING SERVICE - MBAZWANA,KZ-013074,30/07/2020,CSD PROCESS,3,Months,"R8,908.00","R26,724.00"
"",KwaZulu Natal,MKLG GROUP,CLEANING SERVICE - UBOMBO,KZ-013080,29/07/2020,CSD PROCESS,3,Months,"R10,000.00","R30,000.00"
"",KwaZulu Natal,UBUCUBU HOME INDUSTRIES,3 LAYER CLOTH MASKS,KZ-013081,30/07/2020,TREASURY APPROVED SMALL BUSINESS SUPPLIER,642,1,R20.00,"R12,840.00"
"",KwaZulu Natal,SIPHIWENONKOSI CLEANING SERVICES,CLEANING SERVICE - ESIKHAWINI,KZ-013082,30/07/2020,CSD PROCESS,3,Months,"R10,000.00","R30,000.00"
"",KwaZulu Natal,LAKE TETE TRADING AND PROJECTS,CLEANING SERVICE - JOZINI,KZ-013083,30/07/2020,CSD PROCESS,3,Months,"R9,000.00","R27,000.00"
"",KwaZulu Natal,TAP TAP TRADING & PROJECT,CLEANING SERVICE - KWANGWANASE,KZ-013084,30/07/2020,CSD PROCESS,3,Months,"R8,050.00","R24,150.00"
"",KwaZulu Natal,SKITTERBLINK CLEANING SERVICES,DEEP CLEANING - VRYHEID,KZ-013027,15/04/2020,CSD PROCESS,1,1,"R14,973.58","R14,973.58",
